Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,3.26830816488374,3.30265135925243,3.33563636079723,3.36343430828311,3.39088515089358,3.42261133957721,3.45999036315513,3.497728426127,3.529322777419,3.56237648609852,3.59627553791775,3.63291127522004,3.66834597611535,3.70832237476842,3.75101571675707,3.79293521117963,3.83011279793076,3.8718472515473,3.91284812265562,3.9522291338328,3.98239245827659,4.02771072511681,4.07614836279598,4.13498944297029,4.19587500655283,4.24162135453439
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,136.429166666667,142.2625,148.095833333333,153.841666666667,159.516666666667,165.308333333333,171.204166666667,177.141666666667,183.058333333333,188.966666666667,194.95,200.966666666667,207.029166666667,213.129166666667,219.241666666667,225.4125,231.691666666667,238.066666666667,244.395833333333,250.666666666667,256.841666666667,262.916666666667,268.895833333333,274.754166666667,280.529166666667,286.183333333333
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,5.37425278500112,5.51536967478892,5.66904234485858,5.82494943657902,5.98646826543388,6.15335323766413,6.29151337121577,6.43050659732255,6.58622427686282,6.73027384506726,6.88434620694083,7.02683713762882,7.16358470576905,7.31802626087515,7.26997174869177,7.21210151208707,7.32771678063501,7.40127772962214,7.45195511894443,7.42107611801342,7.430928761758,7.56631513050178,7.6944861793316,7.83116151401329,7.93717775851552,8.06868278275386
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,5.62981575603558,5.88477445997459,6.09145965692503,6.30466963151207,6.53010244599746,6.75992137865311,6.99183926302414,7.23966963151207,7.53481019695044,7.87804637865311,8.20210609911055,8.50256035578145,8.80055590851334,9.11395806861499,9.44548443456163,9.77809323379924,10.1294448856417,10.4915803684879,10.8728391041931,11.2680098475222,11.6324817344346,12.0033791296061,12.4068924714104,12.830790184244,13.2506535895807,13.6790652795426
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,733.570707070707,735.176767676768,738.454545454545,741.949494949495,745.222222222222,748.030303030303,751.767676767677,756.974747474747,762.424242424242,767.873737373737,773.363636363636,778.858585858586,784.388888888889,789.939393939394,795.510101010101,801.116161616162,806.59595959596,811.954545454545,817.055555555556,821.848484848485,825.525252525253,827.691919191919,829.893939393939,833.075757575758,836.560606060606,839.570707070707
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,19.5383399772975,19.8162903546855,20.0831087296848,20.3458613751661,20.6034346874109,20.8513352485165,21.0937108288547,21.3278312164103,21.5522021917012,21.7708477913526,21.9879951367258,22.2037450977228,22.4221432298812,22.6472942657478,22.876931994857,23.107901206673,23.3370130673596,23.5620242302954,23.7878208335351,24.0860324163393,24.333348398175,24.6093854617587,25.002288872834,25.4526848895971,25.84400416762,26.0767352343796
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,128.336621134526,129.688982907321,131.023100200996,132.286384121395,133.436760709953,134.492481002789,135.473048750848,136.383779609948,137.235919250104,138.053436689892,138.867766063821,139.645342881819,140.376588050196,141.097705219827,141.801244134798,142.487743405,143.268509836432,144.243669001474,145.207643927049,146.125816729087,146.977949259981,147.822641376791,148.720043543977,149.417194545073,149.948179684945,150.305542803154
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,32.2709887336638,32.8641234790446,33.4575475439387,34.0623388913925,34.6596331680937,35.2320270392068,35.790231635872,36.3449121225777,36.8971870211807,37.4431464623704,37.9711374493015,38.477768364128,38.9683406940063,39.4401153672826,39.9022451554754,40.3581063542136,40.7928021631365,41.2039747634069,41.5967408742677,41.969742226228,42.3343307796305,42.7557566471383,43.3808724650744,44.1860883280757,44.9824109959441,45.6331653898152
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,263.614185921548,268.192907039226,272.851692638366,277.591080064481,282.582482536271,288.060182697474,294.046211714132,300.334766254702,306.178398710371,312.038688876948,318.472326706072,324.961311123052,331.502955400322,338.155292853305,344.94734013971,351.873186458893,358.976894142934,366.270822138635,374.095647501343,382.322944653412,390.479312197743,398.571198280494,406.592692101021,414.610424502955,422.664159054272,431.038688876948
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",COD,19.5997900355087,19.9802051123707,20.3038759621535,20.8630599236894,21.5756030965351,22.2789272402461,22.995807767804,23.709456783044,24.4122833638429,25.1418102820846,25.9260819126177,26.7377905207208,27.5590533953817,28.4028424604662,29.2944769634547,30.2432844445425,31.2517637458371,32.3127491674202,33.430844048433,34.5838168545025,35.7449244613043,37.0333318629938,38.4126499194989,39.7201843805827,40.9992907081891,42.3413678569066
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,8.05113030746706,8.27755490483163,8.45640409956076,8.6443953147877,8.88103660322108,9.22795021961933,9.58283162518302,9.81192093704246,10.0900527086384,10.4408609077599,10.8239912152269,11.2369224011713,11.6557247437775,12.0454377745242,12.5365124450952,13.0667349926794,13.4984597364568,13.8812591508053,14.2228374816984,14.5706588579795,14.9270307467057,15.2929311859444,15.6691390922401,16.0559824304539,16.4470307467057,16.845654465593
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,69.2357226792009,70.8776537406972,72.4972777124951,74.086133960047,75.6384841363102,77.119839404622,78.5144339992166,79.8218762240501,81.0572659616138,82.257696827262,83.4555424990208,84.63258911085,85.7862906384645,86.9576184880533,88.1275166470819,89.2276145710928,90.2826674500588,91.3422248335292,92.3648061104583,93.3630826478653,94.360321190756,95.3191931061496,96.2235996866432,97.0978848413631,97.9152565609087,98.5961613787701
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,46.7156132075472,48.5607295597484,50.4627987421384,52.4023522012579,54.1381603773585,55.6572452830189,57.166393081761,58.6628018867925,60.143213836478,61.6194968553459,63.108358490566,64.6125849056604,66.1338301886792,67.6554685534591,69.1759119496855,70.7171855345912,72.2704402515723,73.7958427672956,75.2823113207547,77.1301729559748,79.3910125786164,81.7276886792453,84.0672075471698,86.3653238993711,88.6572610062893,90.9290849056604
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,82.633339295296,81.4058056448732,81.0096463022508,81.0612591665176,80.7118046861027,79.9166905136643,76.9001645442839,76.9454499928459,76.8958437567007,76.9173039811307,77.0163855335573,77.0345043242084,77.0176720749053,77.0085233364306,76.927685655064,76.7533950396684,76.4888499749839,76.1269387463369,75.6543849617611,75.0767993710242,74.1856371953399,73.3840861982703,72.2144056893717,71.2739439639768,70.5701879779859,69.946497498213
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,101.725903165736,102.067132216015,102.401620111732,102.744059590317,103.093389199255,103.436769087523,103.762867783985,105.060795187518,105.351343984962,105.617479560192,105.811292747088,105.971530583482,106.043517474634,106.085700864337,106.113481773769,106.138754227734,105.757568101214,105.984819360707,108.40689886778,108.496202653336,108.309942363112,108.2815455594,108.360587668593,108.16105973025,107.927225433526,107.672003853565
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,339.709459459459,342.540540540541,346.445945945946,351.146396396396,355.810810810811,359.603603603604,360.754504504504,358.864864864865,354.596846846847,348.97972972973
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,93.3652597402597,95.2694805194805,97.1393939393939,98.9770562770563,100.7829004329,102.561363636364,104.342748917749,106.21645021645,108.180735930736,110.159632034632,112.137554112554,114.114502164502,116.094588744589,118.076406926407,120.061796536797,122.058008658009,124.079329004329,126.125216450216,128.127164502165,130.065043290043,131.980735930736,133.88658008658,135.744047619048,137.525649350649,139.250108225108,140.935822510823
