Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Population, total [SP.POP.TOTL]"
2006,YR2006,Iceland,ISL,17465318552.2941,57492.9342498703,77.5361532018636,303782
2006,YR2006,India,IND,940259888787.721,801.668353659022,45.7244804992652,1172878890
2006,YR2006,Indonesia,IDN,364570515618.357,1558.31562847163,56.6571268148867,233951652
2006,YR2006,"Iran, Islamic Rep.",IRN,265602187406.199,3618.9160136791,53.1673587139261,73392747
2006,YR2006,Iraq,IRQ,65147051918.0219,2276.55435744086,89.6505198581778,28616515
2006,YR2006,Ireland,IRL,232180617162.279,54329.1618599624,150.021804736753,4273591
2006,YR2006,Isle of Man,IMN,3422733202.4501,42627.5089352891,..,80294
2006,YR2006,Israel,ISR,158900547825.306,22527.2619795719,78.4352889718463,7053700
2006,YR2006,Italy,ITA,1958563654385.64,33537.1286994269,52.9235429597012,58399861
2006,YR2006,Jamaica,JAM,11930179089.8855,4417.00127135363,100.745598824993,2700968
2006,YR2006,Japan,JPN,4601663122649.92,35991.546002862,30.0163760986692,127854000
2006,YR2006,Jordan,JOR,15056981664.3159,2342.63459574933,141.747381831126,6427371
2006,YR2006,Kazakhstan,KAZ,81003864630.018,5030.13494711519,91.4535267973373,16103716
2006,YR2006,Kenya,KEN,25825512284.2891,699.80237063381,55.2364851257303,36904008
2006,YR2006,Kiribati,KIR,112338353.264712,1123.19258990684,94.0468138646475,100017
2006,YR2006,"Korea, Dem. People's Rep.",PRK,..,..,..,24524507
2006,YR2006,"Korea, Rep.",KOR,1053216909887.56,21743.4774514254,70.6518735304194,48438292
2006,YR2006,Kosovo,XKX,..,..,..,1813079
2006,YR2006,Kuwait,KWT,101557330723.423,42946.6374104066,89.7130931980522,2364733
2006,YR2006,Kyrgyz Republic,KGZ,2834168889.42019,543.113512472219,120.749981766273,5218373
2006,YR2006,Lao PDR,LAO,3455030060.9785,579.391947440719,81.9613754162421,5963200
2006,YR2006,Latvia,LVA,20434922247.3037,9211.7374468148,105.695342080455,2218357
2006,YR2006,Lebanon,LBN,22022709851.4096,4635.2514117486,91.0693970298409,4751136
2006,YR2006,Lesotho,LSO,1800092563.75462,925.467485502842,..,1945063
2006,YR2006,Liberia,LBR,1119000000,320.55808618515,..,3490787
2006,YR2006,Libya,LBY,60094231606.642,10048.8480434289,97.7381011197381,5980211
2006,YR2006,Liechtenstein,LIE,4000102086.14635,114167.939211301,..,35037
2006,YR2006,Lithuania,LTU,30116192746.8942,9210.10118229413,124.613633047292,3269909
2006,YR2006,Luxembourg,LUX,42910146296.0646,90788.8004876145,305.879547488526,472637
2006,YR2006,"Macao SAR, China",MAC,14874098691.9082,29813.7877167933,128.785689078596,498900
2006,YR2006,Madagascar,MDG,6395712490.94304,324.146874882604,62.1028389370244,19730909
2006,YR2006,Malawi,MWI,5818279739.14354,440.822149023873,..,13198701
2006,YR2006,Malaysia,MYS,162692258307.056,6158.40785533236,202.577146840398,26417909
2006,YR2006,Maldives,MDV,1575200390.625,5018.94335409159,..,313851
2006,YR2006,Mali,MLI,8858863052.70726,633.221946737432,45.4398076879091,13990139
2006,YR2006,Malta,MLT,6749838861.63176,16653.6038312389,182.434091177607,405308
2006,YR2006,Marshall Islands,MHL,143200000,2754.26988767503,112.408519553073,51992
2006,YR2006,Mauritania,MRT,3919577285.92703,1300.60367988659,82.7885012130323,3013660
2006,YR2006,Mauritius,MUS,7028810680.89077,5695.97525509869,127.062861757975,1233996
2006,YR2006,Mexico,MEX,1020265057882.01,9512.63575346699,54.4821160886169,107253666
2006,YR2006,"Micronesia, Fed. Sts.",FSM,253541900,2289.75155559971,95.3224299415599,110729
2006,YR2006,Moldova,MDA,3408255450.5509,1183.02481442894,137.154763819994,2880967
2006,YR2006,Monaco,MCO,4586826512.71356,143083.461107202,..,32057
2006,YR2006,Mongolia,MNG,3414055661.61598,1329.89179579053,112.929983096983,2567168
2006,YR2006,Montenegro,MNE,2721903148.91482,4425.67887307803,117.994735505471,615025
2006,YR2006,Morocco,MAR,75883823300.8545,2438.12646484375,64.6721977787154,30771178
2006,YR2006,Mozambique,MOZ,9509835536.93373,457.487647833183,67.3498976872689,20787087
2006,YR2006,Myanmar,MMR,14502553709.8303,303.495087119254,..,47785135
2006,YR2006,Namibia,NAM,8001779551.06323,4017.1834716928,86.8339693259998,1991888
2006,YR2006,Nauru,NRU,29183626.7145836,2908.47386033322,..,10034
2006,YR2006,Nepal,NPL,9043715355.8881,340.431796437968,44.7619877569242,26565425
2006,YR2006,Netherlands,NLD,737593995289.411,45123.5432406426,127.195613539333,16346101
2006,YR2006,New Caledonia,NCL,6979155387.86792,28193.2537573387,68.0205144787445,247547
2006,YR2006,New Zealand,NZL,111538810712.665,26654.5932018985,59.6032650403479,4184600
2006,YR2006,Nicaragua,NIC,6763672380.61154,1248.17371577788,87.309670832079,5418855
2006,YR2006,Niger,NER,4756361252.37923,333.345078419447,36.5313731842429,14268581
2006,YR2006,Nigeria,NGA,238454997161.48,1599.53891556365,..,149077334
2006,YR2006,North Macedonia,MKD,6861226971.55617,3440.4411057968,92.5516664675666,1994287
2006,YR2006,Northern Mariana Islands,MNP,990000000,16314.5578590027,159.69696969697,60682
2006,YR2006,Norway,NOR,346915160681.708,74434.4996835671,71.6599299465003,4660677
2006,YR2006,Oman,OMN,42577633289.987,16930.8565071853,86.1457079854133,2514795
2006,YR2006,Pakistan,PAK,161871385506.36,900.873564984808,33.0497193672284,179682690
2006,YR2006,Palau,PLW,193679700,9885.14775685194,161.522864812368,19593
2006,YR2006,Panama,PAN,18659721500,5528.76705469354,141.47257128141,3375024
2006,YR2006,Papua New Guinea,PNG,8354911040.70193,1238.18282926706,..,6747720
2006,YR2006,Paraguay,PRY,13429430050.261,2439.43124694576,84.7335313048126,5505148
2006,YR2006,Peru,PER,88643193061.748,3129.55996496982,51.7850560338442,28324491
2006,YR2006,Philippines,PHL,127652926368.069,1426.14649179546,80.8505386728775,89508986
2006,YR2006,Poland,POL,345897630736.173,9068.85528307627,77.7008035402352,38141267
2006,YR2006,Portugal,PRT,208756449275.848,19839.4540499032,68.5470531182009,10522288
2006,YR2006,Puerto Rico (US),PRI,87276164400,22935.9411586313,117.728477994388,3805214
2006,YR2006,Qatar,QAT,60882142857.1429,62582.4453138755,98.570919313572,972831
2006,YR2006,Romania,ROU,122023735992.706,5757.53127301178,61.6836259265159,21193760
2006,YR2006,Russian Federation,RUS,989932071352.543,6920.19970703125,54.733401867266,143049637
2006,YR2006,Rwanda,RWA,3319784538.73346,356.995022901154,33.2214370724059,9299246
2006,YR2006,Samoa,WSM,499923757.780736,2663.29135939532,82.4691938417408,187709
2006,YR2006,San Marino,SMR,1909765165.43137,63270.7780755157,..,30184
2006,YR2006,Sao Tome and Principe,STP,142775104.081626,861.970707697664,..,165638
2006,YR2006,Saudi Arabia,SAU,376900133511.348,17563.6145370639,89.9446046768984,21459144
2006,YR2006,Senegal,SEN,11697918243.0035,1017.20196747987,54.1362378092613,11500094
2006,YR2006,Serbia,SRB,33298057361.7412,4492.7136699046,75.529235364472,7411569
2006,YR2006,Seychelles,SYC,1081441283.31798,12782.9938926475,177.56693551462,84600
2006,YR2006,Sierra Leone,SLE,3263697466.73514,580.26796974773,22.0888664739674,5624466
