iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
AUS,CIV,0,0,0,0,15950.81,9.677264890622602,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,CMR,0,1,0,0,14687.67,9.594763645287616,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,COL,0,0,0,0,14260.45,9.565245250272625,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,CRI,0,0,0,0,13829.48,9.534557824530381,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,CYP,0,0,0,0,14426.82,9.576844253261577,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,CZE,0,0,0,0,16097.52,9.686420501840516,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,DEU,0,0,0,0,16562.72,9.714909665659228,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,DNK,0,0,0,0,16054.1,9.683719547649325,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,EGY,0,0,0,0,14425.52,9.576754139253431,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,ESP,0,0,0,0,17699.45,9.781288844632803,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,EST,0,0,0,0,15241.88,9.631802181212523,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,FIN,0,0,0,0,15211.41,9.629801083126383,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,FRA,0,0,0,0,16975.46,9.739524050734255,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,GBR,0,1,1,0,17011.27,9.741631344566393,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,GRC,0,0,0,0,15337.68,9.638067824891621,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,HKG,0,1,0,0,7377.491,8.9061888868909,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,HRV,0,0,0,0,16041.65,9.682943743960397,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,HUN,0,0,0,0,15795.78,9.667498094732949,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,IDN,0,0,0,0,5511.902,8.614665033145018,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,IND,0,1,0,0,10435.1,9.252930402599068,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,IRL,0,1,0,0,17230.5,9.754436348253568,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,ISL,0,0,0,0,16632.49,9.719113290383335,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,ISR,0,1,0,0,14191.52,9.560399882105912,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,ITA,0,0,0,0,16333.25,9.700958186370823,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,JOR,0,0,0,0,14083.24,9.552740716876315,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
