iso_o,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NGA,1390.47,1421.68,1465.46,1644.4,1717.21,1824.8,1889.25,1949.16,2020.83,2098.28,2204.61,2315.47,2370.98,2403.65,2495.34,2583.62,2585.73,2481.81,2441.71,2431.78,2431.54,2337.58
NOR,66094.74,67846.6,68899.53,69472.98,69719.31,72090.99,73524.25,74729.74,76115.71,75535.21,73141.31,72804.4,72660.68,73661.68,73515.91,74180.32,74809.97,75017.49,76247.41,76373.65,76712.29,75287.21
PAK,1035.5,1049.54,1057.87,1059.04,1090.28,1147.0,1201.23,1243.94,1265.36,1258.05,1269.07,1256.69,1261.83,1275.49,1309.7,1343.31,1380.47,1452.19,1495.26,1561.68,1573.83,1526.01
PER,3250.38,3286.27,3261.66,3398.75,3502.79,3640.6,3835.13,4091.36,4407.79,4778.53,4801.17,5167.39,5453.46,5740.04,6021.46,6103.92,6231.71,6392.25,6457.42,6593.14,6626.26,5831.83
PHL,1759.42,1793.35,1807.71,1837.25,1892.82,1978.34,2037.88,2110.42,2209.35,2264.95,2256.73,2373.14,2416.75,2533.74,2654.42,2776.92,2909.86,3076.34,3247.45,3410.94,3575.88,3198.67
POL,6998.79,7401.58,7494.96,7640.99,7915.55,8323.39,8598.58,9137.66,9760.7,10187.2,10446.53,10808.4,11370.31,11542.24,11628.23,12093.16,12637.52,13026.19,13695.65,14551.09,15221.31,15090.22
PRT,18258.09,18822.09,19053.09,19095.11,18846.54,19137.84,19251.71,19529.31,19979.57,20014.47,19371.13,19698.68,19389.64,18679.76,18597.72,18836.9,19215.78,19662.82,20364.2,20997.77,21569.19,19778.71
RUS,4819.38,5323.67,5618.96,5910.17,6370.45,6856.68,7323.39,7949.9,8640.41,9093.7,8381.87,8755.12,9120.82,9464.01,9601.54,9493.81,9277.71,9269.32,9418.91,9674.79,9882.02,9632.33
SAU,22214.43,22247.86,21193.09,20025.43,20765.94,21545.89,21838.19,21616.34,21196.79,21629.84,20577.55,21830.14,23314.57,23643.03,23057.36,23404.73,23256.15,22783.04,23035.12,24393.52,24905.66,22827.67
SEN,1033.76,1048.37,1067.37,1042.26,1074.39,1098.2,1119.05,1118.78,1124.0,1138.67,1142.65,1153.53,1139.74,1154.06,1147.39,1180.8,1218.01,1257.41,1312.11,1355.1,1379.61,1361.79
SGP,32557.05,34890.08,33597.87,34598.83,36709.8,39856.64,41798.49,44159.41,46178.81,44601.58,43331.87,48752.05,50713.53,51679.35,53298.97,54681.93,55645.61,56986.79,59485.3,61250.35,61345.53,59189.7
SVK,8914.68,8997.21,9277.36,9690.68,10168.02,10718.21,11412.16,12430.2,13770.96,14497.11,13680.75,14596.15,14950.87,15159.66,15249.88,15647.65,16442.08,16740.74,17195.29,17869.01,18250.98,17763.86
SVN,15646.69,16146.12,16576.72,17099.66,17635.36,18425.26,19102.28,20166.53,21485.78,22175.24,20307.62,20444.12,20535.42,19894.87,19704.22,20228.71,20697.27,21309.71,22397.76,23293.97,23943.18,22811.81
ZAF,4552.85,4700.88,4786.48,4916.81,5011.62,5187.36,5406.08,5650.99,5891.42,6009.72,5847.06,5953.95,6067.12,6121.56,6170.88,6155.01,6112.27,6095.3,6125.69,6117.27,6032.83,5569.58
ESP,23017.84,24106.88,24878.38,25205.32,25481.17,25825.31,26294.45,26899.09,27338.8,27112.53,25860.81,25766.25,25510.56,24763.57,24498.56,24947.85,25982.44,26719.24,27426.28,27956.72,28301.44,25077.02
SWE,39785.38,41561.1,42013.7,42831.02,43474.58,45113.83,46188.84,48077.44,49261.24,48427.76,45973.55,48204.66,49355.69,48788.87,48927.6,49556.7,51197.95,51746.7,51985.93,52363.38,53156.86,51715.78
CHE,71341.34,73749.94,74439.46,73824.38,73254.95,74718.68,76282.98,78893.81,81254.17,82481.07,79585.52,81315.42,81874.34,81964.89,82479.92,83394.37,83806.45,84611.1,84967.59,86756.6,87123.66,84637.01
THA,3403.09,3514.72,3599.03,3783.75,4018.16,4232.77,4372.26,4551.53,4760.67,4805.76,4737.46,5059.36,5070.24,5403.88,5516.61,5541.47,5688.85,5857.78,6076.74,6314.2,6434.54,6035.19
TUN,2766.57,2864.55,2941.74,2950.21,3058.23,3218.73,3301.94,3444.56,3642.12,3760.12,3835.26,3906.91,3784.75,3900.05,3947.59,4021.6,4014.95,4015.3,4062.23,4128.1,4154.96,3749.27
TUR,5991.37,6325.1,5887.69,6192.19,6473.46,7028.76,7579.37,8023.15,8414.25,8376.15,7862.87,8396.92,9201.34,9519.82,10195.85,10556.12,11050.0,11264.61,11953.67,12148.29,12073.87,12179.66
UKR,1319.53,1409.22,1547.28,1644.28,1814.26,2042.44,2122.6,2298.13,2498.35,2567.69,2188.17,2285.93,2418.12,2426.93,2432.42,2308.64,2094.47,2156.08,2217.75,2308.67,2398.08,2324.11
GBR,37435.88,38921.9,39769.87,40312.98,41390.61,42167.36,43023.23,43724.9,44524.57,44065.62,41712.83,42311.43,42459.96,42794.78,43274.34,44324.39,44983.89,45485.65,46439.86,46862.97,47379.8,42429.19
USA,47234.25,48616.25,48597.42,48967.37,49905.52,51348.35,52649.57,53596.32,54152.83,53703.96,51863.62,52812.68,53215.54,54000.84,54728.86,55665.24,56849.47,57430.85,58435.97,59817.66,61047.96,59484.03
VNM,1148.04,1212.2,1273.81,1340.52,1418.74,1510.94,1609.96,1699.68,1788.95,1856.01,1927.13,2027.58,2132.9,2224.11,2320.08,2439.29,2577.57,2715.58,2868.14,3048.28,3241.08,3303.17
