iso_o,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NLD,44.0,49.4,61.3,64.4,68.5,81.0,83.7,85.8,87.4,89.6,90.7,91.4,92.9,94.0,91.7,91.7,90.4,93.2,91.9,93.3,91.3
NZL,47.4,53.2,59.1,61.0,61.8,62.7,69.0,69.8,72.0,79.7,80.5,81.2,81.6,82.8,84.0,85.2,86.5,87.7,89.0,89.9,95.2
NGA,0.06,0.09,0.32,0.56,1.29,3.55,5.55,6.77,8.0,9.3,11.5,13.8,16.1,19.1,21.0,22.5,24.1,25.9,27.7,29.7,31.9
NOR,52.0,64.0,72.8,78.1,77.7,82.0,82.6,86.9,90.6,92.1,93.4,93.5,94.7,95.1,96.3,96.8,97.3,96.4,96.5,98.0,94.6
PAK,15.558493150684928,1.32,2.58,5.04,6.16,6.33,6.5,6.8,7.0,7.5,8.0,8.0,8.1,9.0,10.0,11.0,12.4,13.8,15.3,17.1,18.9
PER,3.08,7.58,8.97,11.6,14.1,17.1,20.7,25.2,30.6,31.4,34.8,36.0,38.2,39.2,40.2,40.9,45.5,50.5,55.1,60.0,65.3
PHL,1.98,2.52,4.33,4.86,5.24,5.4,5.74,5.97,6.22,9.0,25.0,29.0,30.8,32.7,34.7,36.9,39.2,41.6,44.1,43.0,53.8
POL,7.29,9.9,21.2,24.9,32.5,38.8,44.6,48.6,53.1,59.0,62.3,62.0,62.3,62.8,66.6,68.0,73.3,76.0,77.5,80.4,83.2
PRT,16.4,18.1,19.4,29.7,31.8,35.0,38.0,42.1,44.1,48.3,53.3,55.3,60.3,62.1,64.6,68.6,70.4,73.8,74.7,75.3,78.3
RUS,1.98,2.94,4.13,8.3,12.9,15.2,18.0,24.7,32.0,42.6,49.0,58.0,66.0,68.0,70.5,70.1,73.1,76.0,80.9,82.6,85.0
SAU,2.21,4.68,6.38,8.0,10.2,12.7,19.5,30.0,36.0,38.0,41.0,47.5,54.0,60.5,64.7,69.6,74.9,94.2,93.3,95.7,97.9
SEN,0.4,0.98,1.01,2.1,4.39,4.79,5.61,6.89,7.12,7.5,8.0,9.8,10.8,13.1,17.7,21.7,25.7,29.6,35.3,43.4,53.3
SGP,36.0,41.7,47.0,53.8,62.0,61.0,59.0,69.9,69.0,69.0,71.0,71.0,72.0,80.9,79.0,79.0,84.5,84.5,88.2,88.9,92.0
SVK,9.43,12.5,40.1,43.0,52.9,55.2,56.1,61.8,66.1,70.0,75.7,74.4,76.7,77.9,80.0,77.6,80.5,81.6,80.4,82.9,89.9
SVN,15.1,30.2,27.8,31.9,40.8,46.8,54.0,56.7,58.0,64.0,70.0,67.3,68.4,72.7,71.6,73.1,75.5,78.9,79.8,83.1,86.6
ZAF,5.35,6.35,6.71,7.01,8.43,7.49,7.61,8.07,8.43,10.0,24.0,34.0,41.0,46.5,49.0,51.9,54.0,56.2,62.4,69.7,72.1
ESP,13.6,18.1,20.4,39.9,44.0,47.9,50.4,55.1,59.6,62.4,65.8,67.1,69.8,71.6,76.2,78.7,80.6,84.6,86.1,90.7,93.2
SWE,45.7,51.8,70.6,79.1,83.9,84.8,87.8,82.0,90.0,91.0,90.0,92.8,93.2,94.8,92.5,90.6,89.7,93.0,89.2,94.5,94.5
CHE,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.2,85.2,86.3,83.6,87.5,89.1,89.7,91.8,93.1,94.3
THA,3.69,5.56,7.53,9.3,10.7,15.0,17.2,20.0,18.2,20.1,22.4,23.7,26.5,28.9,34.9,39.3,47.5,52.9,56.8,66.7,77.8
TUN,2.75,4.3,5.25,6.49,8.53,9.66,13.0,17.1,27.5,34.1,36.8,39.1,41.4,43.8,46.2,46.5,49.6,55.5,64.2,66.7,68.6
TUR,3.76,5.19,11.4,12.3,14.6,15.5,18.2,28.6,34.4,36.4,39.8,43.1,45.1,46.3,51.0,53.7,58.3,64.7,71.0,74.0,77.7
UKR,0.72,1.24,1.87,3.15,3.49,3.75,4.51,6.55,11.0,17.9,23.3,28.7,35.3,41.0,46.2,48.9,53.0,58.9,62.6,70.1,75.0
GBR,26.8,33.5,56.5,64.8,65.6,70.0,68.8,75.1,78.4,83.6,85.0,85.4,87.5,89.8,91.6,92.0,94.8,90.4,90.7,92.5,94.8
USA,43.1,49.1,58.8,61.7,64.8,68.0,68.9,75.0,74.0,71.0,71.7,69.7,74.7,71.4,73.0,74.6,85.5,87.3,88.5,89.4,90.3
VNM,0.25,1.27,1.86,3.78,7.64,12.7,17.3,20.8,23.9,26.6,30.7,35.1,36.8,38.5,41.0,45.0,53.0,58.1,69.8,68.7,70.3
