iso_o,iso_d,log_dist
BLR,CHE,7.383773285546609
BLR,CHL,9.508296732702249
BLR,CHN,8.776568531959171
BLR,CIV,8.717051247685674
BLR,CMR,8.657318719859884
BLR,COL,9.2511982058542
BLR,CRI,9.25784399462015
BLR,CYP,7.664202088569645
BLR,CZE,6.894027482480728
BLR,DEU,7.247832438624797
BLR,DNK,6.8845356784765865
BLR,EGY,7.888388512783353
BLR,ESP,7.923963741395431
BLR,EST,6.464412743108764
BLR,FIN,6.572892845931584
BLR,FRA,7.508627618432817
BLR,GBR,7.535335142708989
BLR,GRC,7.488510055786681
BLR,HKG,8.964325121077781
BLR,HRV,7.104209826242005
BLR,HUN,6.827866909397865
BLR,IDN,9.197196974708032
BLR,IND,8.492238599512282
BLR,IRL,7.70036446313116
BLR,ISL,7.994669072982082
BLR,ISR,7.82033352811222
BLR,ITA,7.457563702986992
BLR,JOR,7.8353320828732596
BLR,JPN,9.005159889360202
BLR,KAZ,8.227737547115304
BLR,KHM,9.006233223110305
BLR,KOR,8.89463310337431
BLR,LAO,8.914563491456919
BLR,LTU,5.133003947864631
BLR,LUX,7.339004436367226
BLR,LVA,6.00723479055536
BLR,MAR,8.152057988772366
BLR,MEX,9.251868996774446
BLR,MLT,7.712552504577672
BLR,MMR,8.870855120781949
BLR,MYS,9.071477650180986
BLR,NGA,8.648741318669492
BLR,NLD,7.321817988235535
BLR,NOR,7.103895089104492
BLR,NZL,9.767155670771345
BLR,PAK,8.342596917634031
BLR,PER,9.397224836189949
BLR,PHL,9.0974398350006
BLR,POL,6.152102283270609
BLR,PRT,8.08000054605992
BLR,RUS,6.532284363756148
BLR,SAU,8.195090812068894
BLR,SEN,8.67416514484864
BLR,SGP,9.106079140772628
BLR,SVK,6.866352595061088
BLR,SVN,7.145170109421916
BLR,SWE,6.731508791529385
BLR,THA,8.945555089207518
BLR,TUN,7.746590719598693
BLR,TUR,7.2658317403363535
BLR,UKR,6.0719566153423985
BLR,USA,8.871482331587167
BLR,VNM,8.90765281153431
BLR,ZAF,9.19105041124404
BRA,ARG,7.4331149696393926
BRA,AUS,9.50090029942798
BRA,AUT,9.224881140728082
BRA,BEL,9.176341091387256
BRA,BGD,9.659228887992771
BRA,BGR,9.236697939223415
BRA,BLR,9.317869235068624
BRA,BRN,9.751115207201014
BRA,CAN,9.010834364668057
BRA,CHE,9.16267113433381
BRA,CHL,7.859715425607444
BRA,CHN,9.776466351126802
BRA,CIV,8.635996328814096
BRA,CMR,8.85333594519251
BRA,COL,8.389162982353294
BRA,CRI,8.616744546526526
BRA,CYP,9.273493558981382
BRA,CZE,9.22576578617892
BRA,DEU,9.194989447132544
BRA,DNK,9.252601650230504
BRA,EGY,9.233006542475094
BRA,ESP,9.034769577424965
BRA,EST,9.329617402177847
BRA,FIN,9.333977350934143
BRA,FRA,9.149358823969173
BRA,GBR,9.159227061390576
BRA,GRC,9.213935900310155
BRA,HKG,9.80143932297482
BRA,HRV,9.206938692820446
BRA,HUN,9.236716444800654
BRA,IDN,9.65787341809455
BRA,IND,9.577860592719118
BRA,IRL,9.148296443420284
BRA,ISL,9.209473996781554
BRA,ISR,9.27134703845132
BRA,ITA,9.157204960880376
BRA,JOR,9.280191941343224
BRA,JPN,9.82820404355581
BRA,KAZ,9.579826599841155
BRA,KHM,9.725791083515091
BRA,KOR,9.818175276710777
BRA,LAO,9.728093743387653
BRA,LTU,9.310307871429217
BRA,LUX,9.176102177435753
BRA,LVA,9.315043571649182
BRA,MAR,8.944449666919647
BRA,MEX,8.914577201899101
BRA,MLT,9.12950150578588
BRA,MMR,9.685722635400477
BRA,MYS,9.67662647477523
BRA,NGA,8.761301988041959
BRA,NLD,9.191241137241443
BRA,NOR,9.27247068320259
BRA,NZL,9.340403256274351
BRA,PAK,9.555452321418457
BRA,PER,8.147686268662127
BRA,PHL,9.81991462094824
BRA,POL,9.275075123859242
BRA,PRT,8.981636641475271
BRA,RUS,9.377560981234897
BRA,SAU,9.341764170183076
BRA,SEN,8.576082473106469
BRA,SGP,9.680382125495179
BRA,SVK,9.22935445315746
BRA,SVN,9.199451907212973
BRA,SWE,9.299829094476507
BRA,THA,9.7056443559289
BRA,TUN,9.102686005230186
BRA,TUR,9.267737201837217
