iso_o,iso_d,TIME_PERIOD,rta
ARG,CHE,2000,0
ARG,CHE,2001,0
ARG,CHE,2002,0
ARG,CHE,2003,0
ARG,CHE,2004,0
ARG,CHE,2005,0
ARG,CHE,2006,0
ARG,CHE,2007,0
ARG,CHE,2008,0
ARG,CHE,2009,0
ARG,CHE,2010,0
ARG,CHE,2011,0
ARG,CHE,2012,0
ARG,CHE,2013,0
ARG,CHE,2014,0
ARG,CHE,2015,0
ARG,CHE,2016,0
ARG,CHE,2017,0
ARG,CHE,2018,0
ARG,CHE,2019,0
ARG,CHE,2020,0
ARG,CHL,2000,1
ARG,CHL,2001,1
ARG,CHL,2002,1
ARG,CHL,2003,1
ARG,CHL,2004,1
ARG,CHL,2005,1
ARG,CHL,2006,1
ARG,CHL,2007,1
ARG,CHL,2008,1
ARG,CHL,2009,1
ARG,CHL,2010,1
ARG,CHL,2011,1
ARG,CHL,2012,1
ARG,CHL,2013,1
ARG,CHL,2014,1
ARG,CHL,2015,1
ARG,CHL,2016,1
ARG,CHL,2017,1
ARG,CHL,2018,1
ARG,CHL,2019,1
ARG,CHL,2020,1
ARG,CHN,2000,0
ARG,CHN,2001,0
ARG,CHN,2002,0
ARG,CHN,2003,0
ARG,CHN,2004,0
ARG,CHN,2005,0
ARG,CHN,2006,0
ARG,CHN,2007,0
ARG,CHN,2008,0
ARG,CHN,2009,0
ARG,CHN,2010,0
ARG,CHN,2011,0
ARG,CHN,2012,0
ARG,CHN,2013,0
ARG,CHN,2014,0
ARG,CHN,2015,0
ARG,CHN,2016,0
ARG,CHN,2017,0
ARG,CHN,2018,0
ARG,CHN,2019,0
ARG,CHN,2020,0
ARG,CIV,2000,0
ARG,CIV,2001,0
ARG,CIV,2002,0
ARG,CIV,2003,0
ARG,CIV,2004,0
ARG,CIV,2005,0
ARG,CIV,2006,0
ARG,CIV,2007,0
ARG,CIV,2008,0
ARG,CIV,2009,0
ARG,CIV,2010,0
ARG,CIV,2011,0
ARG,CIV,2012,0
ARG,CIV,2013,0
ARG,CIV,2014,0
ARG,CIV,2015,0
ARG,CIV,2016,0
ARG,CIV,2017,0
ARG,CIV,2018,0
ARG,CIV,2019,0
ARG,CIV,2020,0
ARG,CMR,2000,1
ARG,CMR,2001,1
ARG,CMR,2002,1
ARG,CMR,2003,1
ARG,CMR,2004,1
ARG,CMR,2005,1
ARG,CMR,2006,1
ARG,CMR,2007,1
ARG,CMR,2008,1
ARG,CMR,2009,1
ARG,CMR,2010,1
ARG,CMR,2011,1
ARG,CMR,2012,1
ARG,CMR,2013,1
ARG,CMR,2014,1
ARG,CMR,2015,1
ARG,CMR,2016,1
ARG,CMR,2017,1
ARG,CMR,2018,1
ARG,CMR,2019,1
ARG,CMR,2020,1
ARG,COL,2000,1
ARG,COL,2001,1
ARG,COL,2002,1
ARG,COL,2003,1
ARG,COL,2004,1
ARG,COL,2005,1
ARG,COL,2006,1
ARG,COL,2007,1
ARG,COL,2008,1
ARG,COL,2009,1
ARG,COL,2010,1
ARG,COL,2011,1
ARG,COL,2012,1
ARG,COL,2013,1
ARG,COL,2014,1
ARG,COL,2015,1
ARG,COL,2016,1
ARG,COL,2017,1
ARG,COL,2018,1
ARG,COL,2019,1
ARG,COL,2020,1
ARG,CRI,2000,0
ARG,CRI,2001,0
ARG,CRI,2002,0
ARG,CRI,2003,0
ARG,CRI,2004,0
ARG,CRI,2005,0
ARG,CRI,2006,0
ARG,CRI,2007,0
ARG,CRI,2008,0
ARG,CRI,2009,0
ARG,CRI,2010,0
ARG,CRI,2011,0
ARG,CRI,2012,0
ARG,CRI,2013,0
ARG,CRI,2014,0
ARG,CRI,2015,0
ARG,CRI,2016,0
ARG,CRI,2017,0
ARG,CRI,2018,0
ARG,CRI,2019,0
ARG,CRI,2020,0
ARG,CYP,2000,0
ARG,CYP,2001,0
ARG,CYP,2002,0
ARG,CYP,2003,0
ARG,CYP,2004,0
ARG,CYP,2005,0
ARG,CYP,2006,0
ARG,CYP,2007,0
ARG,CYP,2008,0
ARG,CYP,2009,0
ARG,CYP,2010,0
ARG,CYP,2011,0
ARG,CYP,2012,0
ARG,CYP,2013,0
ARG,CYP,2014,0
ARG,CYP,2015,0
ARG,CYP,2016,0
ARG,CYP,2017,0
ARG,CYP,2018,0
ARG,CYP,2019,0
ARG,CYP,2020,0
ARG,CZE,2000,0
ARG,CZE,2001,0
ARG,CZE,2002,0
ARG,CZE,2003,0
ARG,CZE,2004,0
ARG,CZE,2005,0
ARG,CZE,2006,0
ARG,CZE,2007,0
ARG,CZE,2008,0
ARG,CZE,2009,0
ARG,CZE,2010,0
ARG,CZE,2011,0
ARG,CZE,2012,0
ARG,CZE,2013,0
ARG,CZE,2014,0
ARG,CZE,2015,0
ARG,CZE,2016,0
ARG,CZE,2017,0
ARG,CZE,2018,0
ARG,CZE,2019,0
ARG,CZE,2020,0
ARG,DEU,2000,0
ARG,DEU,2001,0
ARG,DEU,2002,0
ARG,DEU,2003,0
ARG,DEU,2004,0
ARG,DEU,2005,0
ARG,DEU,2006,0
ARG,DEU,2007,0
ARG,DEU,2008,0
ARG,DEU,2009,0
ARG,DEU,2010,0
ARG,DEU,2011,0
ARG,DEU,2012,0
ARG,DEU,2013,0
ARG,DEU,2014,0
ARG,DEU,2015,0
ARG,DEU,2016,0
ARG,DEU,2017,0
ARG,DEU,2018,0
ARG,DEU,2019,0
ARG,DEU,2020,0
ARG,DNK,2000,0
ARG,DNK,2001,0
ARG,DNK,2002,0
ARG,DNK,2003,0
ARG,DNK,2004,0
ARG,DNK,2005,0
ARG,DNK,2006,0
ARG,DNK,2007,0
ARG,DNK,2008,0
ARG,DNK,2009,0
ARG,DNK,2010,0
ARG,DNK,2011,0
ARG,DNK,2012,0
ARG,DNK,2013,0
ARG,DNK,2014,0
ARG,DNK,2015,0
ARG,DNK,2016,0
ARG,DNK,2017,0
ARG,DNK,2018,0
ARG,DNK,2019,0
ARG,DNK,2020,0
ARG,EGY,2000,1
ARG,EGY,2001,1
ARG,EGY,2002,1
ARG,EGY,2003,1
ARG,EGY,2004,1
ARG,EGY,2005,1
ARG,EGY,2006,1
ARG,EGY,2007,1
ARG,EGY,2008,1
ARG,EGY,2009,1
ARG,EGY,2010,1
ARG,EGY,2011,1
ARG,EGY,2012,1
ARG,EGY,2013,1
ARG,EGY,2014,1
ARG,EGY,2015,1
ARG,EGY,2016,1
ARG,EGY,2017,1
ARG,EGY,2018,1
ARG,EGY,2019,1
ARG,EGY,2020,1
ARG,ESP,2000,0
ARG,ESP,2001,0
ARG,ESP,2002,0
ARG,ESP,2003,0
ARG,ESP,2004,0
ARG,ESP,2005,0
ARG,ESP,2006,0
ARG,ESP,2007,0
ARG,ESP,2008,0
ARG,ESP,2009,0
ARG,ESP,2010,0
ARG,ESP,2011,0
ARG,ESP,2012,0
ARG,ESP,2013,0
ARG,ESP,2014,0
ARG,ESP,2015,0
ARG,ESP,2016,0
ARG,ESP,2017,0
ARG,ESP,2018,0
ARG,ESP,2019,0
ARG,ESP,2020,0
ARG,EST,2000,0
ARG,EST,2001,0
ARG,EST,2002,0
ARG,EST,2003,0
ARG,EST,2004,0
ARG,EST,2005,0
ARG,EST,2006,0
ARG,EST,2007,0
ARG,EST,2008,0
ARG,EST,2009,0
ARG,EST,2010,0
ARG,EST,2011,0
ARG,EST,2012,0
ARG,EST,2013,0
ARG,EST,2014,0
ARG,EST,2015,0
ARG,EST,2016,0
ARG,EST,2017,0
ARG,EST,2018,0
ARG,EST,2019,0
ARG,EST,2020,0
ARG,FIN,2000,0
ARG,FIN,2001,0
ARG,FIN,2002,0
ARG,FIN,2003,0
ARG,FIN,2004,0
ARG,FIN,2005,0
ARG,FIN,2006,0
ARG,FIN,2007,0
ARG,FIN,2008,0
ARG,FIN,2009,0
ARG,FIN,2010,0
ARG,FIN,2011,0
ARG,FIN,2012,0
ARG,FIN,2013,0
ARG,FIN,2014,0
ARG,FIN,2015,0
ARG,FIN,2016,0
ARG,FIN,2017,0
ARG,FIN,2018,0
ARG,FIN,2019,0
ARG,FIN,2020,0
ARG,FRA,2000,0
ARG,FRA,2001,0
ARG,FRA,2002,0
ARG,FRA,2003,0
ARG,FRA,2004,0
ARG,FRA,2005,0
ARG,FRA,2006,0
ARG,FRA,2007,0
ARG,FRA,2008,0
ARG,FRA,2009,0
ARG,FRA,2010,0
ARG,FRA,2011,0
ARG,FRA,2012,0
ARG,FRA,2013,0
ARG,FRA,2014,0
ARG,FRA,2015,0
ARG,FRA,2016,0
ARG,FRA,2017,0
ARG,FRA,2018,0
ARG,FRA,2019,0
ARG,FRA,2020,0
ARG,GBR,2000,0
ARG,GBR,2001,0
ARG,GBR,2002,0
ARG,GBR,2003,0
ARG,GBR,2004,0
ARG,GBR,2005,0
ARG,GBR,2006,0
ARG,GBR,2007,0
ARG,GBR,2008,0
ARG,GBR,2009,0
ARG,GBR,2010,0
ARG,GBR,2011,0
ARG,GBR,2012,0
ARG,GBR,2013,0
ARG,GBR,2014,0
ARG,GBR,2015,0
ARG,GBR,2016,0
ARG,GBR,2017,0
ARG,GBR,2018,0
ARG,GBR,2019,0
ARG,GBR,2020,0
ARG,GRC,2000,0
ARG,GRC,2001,0
ARG,GRC,2002,0
ARG,GRC,2003,0
ARG,GRC,2004,0
ARG,GRC,2005,0
ARG,GRC,2006,0
ARG,GRC,2007,0
ARG,GRC,2008,0
ARG,GRC,2009,0
ARG,GRC,2010,0
ARG,GRC,2011,0
ARG,GRC,2012,0
ARG,GRC,2013,0
ARG,GRC,2014,0
ARG,GRC,2015,0
ARG,GRC,2016,0
ARG,GRC,2017,0
ARG,GRC,2018,0
ARG,GRC,2019,0
ARG,GRC,2020,0
ARG,HKG,2000,0
ARG,HKG,2001,0
ARG,HKG,2002,0
ARG,HKG,2003,0
ARG,HKG,2004,0
ARG,HKG,2005,0
ARG,HKG,2006,0
ARG,HKG,2007,0
ARG,HKG,2008,0
ARG,HKG,2009,0
ARG,HKG,2010,0
ARG,HKG,2011,0
ARG,HKG,2012,0
ARG,HKG,2013,0
ARG,HKG,2014,0
ARG,HKG,2015,0
ARG,HKG,2016,0
ARG,HKG,2017,0
ARG,HKG,2018,0
ARG,HKG,2019,0
ARG,HKG,2020,0
ARG,HRV,2000,0
ARG,HRV,2001,0
ARG,HRV,2002,0
ARG,HRV,2003,0
ARG,HRV,2004,0
ARG,HRV,2005,0
ARG,HRV,2006,0
ARG,HRV,2007,0
ARG,HRV,2008,0
ARG,HRV,2009,0
ARG,HRV,2010,0
ARG,HRV,2011,0
ARG,HRV,2012,0
ARG,HRV,2013,0
ARG,HRV,2014,0
ARG,HRV,2015,0
ARG,HRV,2016,0
ARG,HRV,2017,0
ARG,HRV,2018,0
ARG,HRV,2019,0
ARG,HRV,2020,0
ARG,HUN,2000,0
ARG,HUN,2001,0
ARG,HUN,2002,0
ARG,HUN,2003,0
ARG,HUN,2004,0
ARG,HUN,2005,0
ARG,HUN,2006,0
ARG,HUN,2007,0
ARG,HUN,2008,0
ARG,HUN,2009,0
ARG,HUN,2010,0
ARG,HUN,2011,0
ARG,HUN,2012,0
ARG,HUN,2013,0
ARG,HUN,2014,0
ARG,HUN,2015,0
ARG,HUN,2016,0
ARG,HUN,2017,0
ARG,HUN,2018,0
ARG,HUN,2019,0
ARG,HUN,2020,0
ARG,IDN,2000,1
ARG,IDN,2001,1
ARG,IDN,2002,1
ARG,IDN,2003,1
ARG,IDN,2004,1
ARG,IDN,2005,1
ARG,IDN,2006,1
ARG,IDN,2007,1
ARG,IDN,2008,1
ARG,IDN,2009,1
ARG,IDN,2010,1
ARG,IDN,2011,1
ARG,IDN,2012,1
ARG,IDN,2013,1
ARG,IDN,2014,1
ARG,IDN,2015,1
ARG,IDN,2016,1
ARG,IDN,2017,1
ARG,IDN,2018,1
ARG,IDN,2019,1
ARG,IDN,2020,1
ARG,IND,2000,1
ARG,IND,2001,1
ARG,IND,2002,1
ARG,IND,2003,1
ARG,IND,2004,1
ARG,IND,2005,1
ARG,IND,2006,1
ARG,IND,2007,1
ARG,IND,2008,1
ARG,IND,2009,1
ARG,IND,2010,1
ARG,IND,2011,1
ARG,IND,2012,1
ARG,IND,2013,1
ARG,IND,2014,1
ARG,IND,2015,1
ARG,IND,2016,1
ARG,IND,2017,1
ARG,IND,2018,1
ARG,IND,2019,1
ARG,IND,2020,1
ARG,IRL,2000,0
ARG,IRL,2001,0
ARG,IRL,2002,0
ARG,IRL,2003,0
ARG,IRL,2004,0
ARG,IRL,2005,0
ARG,IRL,2006,0
ARG,IRL,2007,0
ARG,IRL,2008,0
ARG,IRL,2009,0
ARG,IRL,2010,0
ARG,IRL,2011,0
ARG,IRL,2012,0
ARG,IRL,2013,0
ARG,IRL,2014,0
ARG,IRL,2015,0
ARG,IRL,2016,0
ARG,IRL,2017,0
ARG,IRL,2018,0
ARG,IRL,2019,0
ARG,IRL,2020,0
ARG,ISL,2000,0
ARG,ISL,2001,0
ARG,ISL,2002,0
ARG,ISL,2003,0
ARG,ISL,2004,0
ARG,ISL,2005,0
ARG,ISL,2006,0
ARG,ISL,2007,0
ARG,ISL,2008,0
ARG,ISL,2009,0
ARG,ISL,2010,0
ARG,ISL,2011,0
ARG,ISL,2012,0
ARG,ISL,2013,0
ARG,ISL,2014,0
ARG,ISL,2015,0
ARG,ISL,2016,0
ARG,ISL,2017,0
ARG,ISL,2018,0
ARG,ISL,2019,0
ARG,ISL,2020,0
ARG,ISR,2000,0
ARG,ISR,2001,0
ARG,ISR,2002,0
ARG,ISR,2003,0
ARG,ISR,2004,0
ARG,ISR,2005,0
ARG,ISR,2006,0
ARG,ISR,2007,0
ARG,ISR,2008,0
ARG,ISR,2009,1
ARG,ISR,2010,1
ARG,ISR,2011,1
ARG,ISR,2012,1
ARG,ISR,2013,1
ARG,ISR,2014,1
ARG,ISR,2015,1
ARG,ISR,2016,1
ARG,ISR,2017,1
ARG,ISR,2018,1
ARG,ISR,2019,1
ARG,ISR,2020,1
ARG,ITA,2000,0
ARG,ITA,2001,0
ARG,ITA,2002,0
ARG,ITA,2003,0
ARG,ITA,2004,0
ARG,ITA,2005,0
ARG,ITA,2006,0
ARG,ITA,2007,0
ARG,ITA,2008,0
ARG,ITA,2009,0
ARG,ITA,2010,0
ARG,ITA,2011,0
ARG,ITA,2012,0
ARG,ITA,2013,0
ARG,ITA,2014,0
ARG,ITA,2015,0
ARG,ITA,2016,0
ARG,ITA,2017,0
ARG,ITA,2018,0
ARG,ITA,2019,0
ARG,ITA,2020,0
ARG,JOR,2000,0
ARG,JOR,2001,0
ARG,JOR,2002,0
ARG,JOR,2003,0
ARG,JOR,2004,0
ARG,JOR,2005,0
ARG,JOR,2006,0
ARG,JOR,2007,0
ARG,JOR,2008,0
ARG,JOR,2009,0
ARG,JOR,2010,0
ARG,JOR,2011,0
ARG,JOR,2012,0
ARG,JOR,2013,0
ARG,JOR,2014,0
ARG,JOR,2015,0
ARG,JOR,2016,0
ARG,JOR,2017,0
ARG,JOR,2018,0
ARG,JOR,2019,0
ARG,JOR,2020,0
ARG,JPN,2000,0
ARG,JPN,2001,0
ARG,JPN,2002,0
ARG,JPN,2003,0
ARG,JPN,2004,0
ARG,JPN,2005,0
ARG,JPN,2006,0
ARG,JPN,2007,0
ARG,JPN,2008,0
ARG,JPN,2009,0
ARG,JPN,2010,0
ARG,JPN,2011,0
ARG,JPN,2012,0
ARG,JPN,2013,0
ARG,JPN,2014,0
ARG,JPN,2015,0
ARG,JPN,2016,0
ARG,JPN,2017,0
ARG,JPN,2018,0
ARG,JPN,2019,0
ARG,JPN,2020,0
ARG,KAZ,2000,0
ARG,KAZ,2001,0
ARG,KAZ,2002,0
ARG,KAZ,2003,0
ARG,KAZ,2004,0
ARG,KAZ,2005,0
ARG,KAZ,2006,0
ARG,KAZ,2007,0
ARG,KAZ,2008,0
ARG,KAZ,2009,0
ARG,KAZ,2010,0
ARG,KAZ,2011,0
ARG,KAZ,2012,0
ARG,KAZ,2013,0
ARG,KAZ,2014,0
ARG,KAZ,2015,0
ARG,KAZ,2016,0
ARG,KAZ,2017,0
ARG,KAZ,2018,0
ARG,KAZ,2019,0
ARG,KAZ,2020,0
ARG,KHM,2000,0
ARG,KHM,2001,0
ARG,KHM,2002,0
ARG,KHM,2003,0
ARG,KHM,2004,0
ARG,KHM,2005,0
ARG,KHM,2006,0
ARG,KHM,2007,0
ARG,KHM,2008,0
ARG,KHM,2009,0
ARG,KHM,2010,0
ARG,KHM,2011,0
ARG,KHM,2012,0
ARG,KHM,2013,0
ARG,KHM,2014,0
ARG,KHM,2015,0
ARG,KHM,2016,0
ARG,KHM,2017,0
ARG,KHM,2018,0
ARG,KHM,2019,0
ARG,KHM,2020,0
ARG,KOR,2000,1
ARG,KOR,2001,1
ARG,KOR,2002,1
ARG,KOR,2003,1
ARG,KOR,2004,1
ARG,KOR,2005,1
ARG,KOR,2006,1
ARG,KOR,2007,1
ARG,KOR,2008,1
ARG,KOR,2009,1
ARG,KOR,2010,1
ARG,KOR,2011,1
ARG,KOR,2012,1
ARG,KOR,2013,1
ARG,KOR,2014,1
ARG,KOR,2015,1
ARG,KOR,2016,1
ARG,KOR,2017,1
ARG,KOR,2018,1
ARG,KOR,2019,1
ARG,KOR,2020,1
ARG,LAO,2000,0
ARG,LAO,2001,0
ARG,LAO,2002,0
ARG,LAO,2003,0
ARG,LAO,2004,0
ARG,LAO,2005,0
ARG,LAO,2006,0
ARG,LAO,2007,0
ARG,LAO,2008,0
ARG,LAO,2009,0
ARG,LAO,2010,0
ARG,LAO,2011,0
ARG,LAO,2012,0
ARG,LAO,2013,0
ARG,LAO,2014,0
ARG,LAO,2015,0
ARG,LAO,2016,0
ARG,LAO,2017,0
ARG,LAO,2018,0
ARG,LAO,2019,0
ARG,LAO,2020,0
ARG,LTU,2000,0
ARG,LTU,2001,0
ARG,LTU,2002,0
ARG,LTU,2003,0
ARG,LTU,2004,0
ARG,LTU,2005,0
ARG,LTU,2006,0
ARG,LTU,2007,0
ARG,LTU,2008,0
ARG,LTU,2009,0
ARG,LTU,2010,0
ARG,LTU,2011,0
ARG,LTU,2012,0
ARG,LTU,2013,0
ARG,LTU,2014,0
ARG,LTU,2015,0
ARG,LTU,2016,0
ARG,LTU,2017,0
ARG,LTU,2018,0
ARG,LTU,2019,0
ARG,LTU,2020,0
ARG,LUX,2000,0
ARG,LUX,2001,0
ARG,LUX,2002,0
ARG,LUX,2003,0
ARG,LUX,2004,0
ARG,LUX,2005,0
ARG,LUX,2006,0
ARG,LUX,2007,0
ARG,LUX,2008,0
ARG,LUX,2009,0
ARG,LUX,2010,0
ARG,LUX,2011,0
ARG,LUX,2012,0
ARG,LUX,2013,0
ARG,LUX,2014,0
ARG,LUX,2015,0
ARG,LUX,2016,0
ARG,LUX,2017,0
ARG,LUX,2018,0
ARG,LUX,2019,0
ARG,LUX,2020,0
ARG,LVA,2000,0
ARG,LVA,2001,0
ARG,LVA,2002,0
ARG,LVA,2003,0
ARG,LVA,2004,0
ARG,LVA,2005,0
ARG,LVA,2006,0
ARG,LVA,2007,0
ARG,LVA,2008,0
ARG,LVA,2009,0
ARG,LVA,2010,0
ARG,LVA,2011,0
ARG,LVA,2012,0
ARG,LVA,2013,0
ARG,LVA,2014,0
ARG,LVA,2015,0
ARG,LVA,2016,0
ARG,LVA,2017,0
ARG,LVA,2018,0
ARG,LVA,2019,0
ARG,LVA,2020,0
ARG,MAR,2000,1
ARG,MAR,2001,1
ARG,MAR,2002,1
ARG,MAR,2003,1
ARG,MAR,2004,1
ARG,MAR,2005,1
ARG,MAR,2006,1
ARG,MAR,2007,1
ARG,MAR,2008,1
ARG,MAR,2009,1
ARG,MAR,2010,1
ARG,MAR,2011,1
ARG,MAR,2012,1
ARG,MAR,2013,1
ARG,MAR,2014,1
ARG,MAR,2015,1
ARG,MAR,2016,1
ARG,MAR,2017,1
ARG,MAR,2018,1
ARG,MAR,2019,1
ARG,MAR,2020,1
ARG,MEX,2000,1
ARG,MEX,2001,1
ARG,MEX,2002,1
ARG,MEX,2003,1
ARG,MEX,2004,1
ARG,MEX,2005,1
ARG,MEX,2006,1
ARG,MEX,2007,1
ARG,MEX,2008,1
ARG,MEX,2009,1
ARG,MEX,2010,1
ARG,MEX,2011,1
ARG,MEX,2012,1
ARG,MEX,2013,1
ARG,MEX,2014,1
ARG,MEX,2015,1
ARG,MEX,2016,1
ARG,MEX,2017,1
ARG,MEX,2018,1
ARG,MEX,2019,1
ARG,MEX,2020,1
ARG,MLT,2000,0
ARG,MLT,2001,0
ARG,MLT,2002,0
ARG,MLT,2003,0
ARG,MLT,2004,0
ARG,MLT,2005,0
ARG,MLT,2006,0
ARG,MLT,2007,0
ARG,MLT,2008,0
ARG,MLT,2009,0
ARG,MLT,2010,0
ARG,MLT,2011,0
ARG,MLT,2012,0
ARG,MLT,2013,0
ARG,MLT,2014,0
ARG,MLT,2015,0
ARG,MLT,2016,0
ARG,MLT,2017,0
ARG,MLT,2018,0
ARG,MLT,2019,0
ARG,MLT,2020,0
ARG,MMR,2000,1
ARG,MMR,2001,1
ARG,MMR,2002,1
ARG,MMR,2003,1
ARG,MMR,2004,1
ARG,MMR,2005,1
ARG,MMR,2006,1
ARG,MMR,2007,1
ARG,MMR,2008,1
ARG,MMR,2009,1
ARG,MMR,2010,1
ARG,MMR,2011,1
ARG,MMR,2012,1
ARG,MMR,2013,1
ARG,MMR,2014,1
ARG,MMR,2015,1
ARG,MMR,2016,1
ARG,MMR,2017,1
ARG,MMR,2018,1
ARG,MMR,2019,1
ARG,MMR,2020,1
ARG,MYS,2000,1
ARG,MYS,2001,1
ARG,MYS,2002,1
ARG,MYS,2003,1
ARG,MYS,2004,1
ARG,MYS,2005,1
ARG,MYS,2006,1
ARG,MYS,2007,1
ARG,MYS,2008,1
ARG,MYS,2009,1
ARG,MYS,2010,1
ARG,MYS,2011,1
ARG,MYS,2012,1
ARG,MYS,2013,1
ARG,MYS,2014,1
ARG,MYS,2015,1
ARG,MYS,2016,1
ARG,MYS,2017,1
ARG,MYS,2018,1
ARG,MYS,2019,1
ARG,MYS,2020,1
ARG,NGA,2000,1
ARG,NGA,2001,1
ARG,NGA,2002,1
ARG,NGA,2003,1
ARG,NGA,2004,1
ARG,NGA,2005,1
ARG,NGA,2006,1
ARG,NGA,2007,1
ARG,NGA,2008,1
ARG,NGA,2009,1
ARG,NGA,2010,1
ARG,NGA,2011,1
ARG,NGA,2012,1
ARG,NGA,2013,1
ARG,NGA,2014,1
ARG,NGA,2015,1
ARG,NGA,2016,1
ARG,NGA,2017,1
ARG,NGA,2018,1
ARG,NGA,2019,1
ARG,NGA,2020,1
ARG,NLD,2000,0
ARG,NLD,2001,0
ARG,NLD,2002,0
ARG,NLD,2003,0
ARG,NLD,2004,0
