iso_o,iso_d,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,NLD,621.0367,712.5794,929.2132,991.0923,1068.8971,1220.5584,1250.2884,1515.6907,2510.3534,2070.677,1986.0769,1991.0443,2018.7235,1545.5232,1333.0762,1077.764,1012.6994,1193.7611,1421.3543,1523.3587,1466.6729
ARG,NOR,28.9471,23.7014,29.5007,24.6041,32.6582,42.7804,29.6828,34.6061,61.6193,31.3917,38.3556,56.7158,45.7308,32.0472,26.8489,23.7066,20.5573,22.498,32.9074,36.4998,34.8151
ARG,NZL,65.0123,6.1659,10.2126,11.3054,14.1117,17.4662,15.4713,31.5312,44.7122,49.4451,57.519,94.5701,123.3675,131.9623,153.1583,130.3378,114.5238,161.388,150.3452,152.8292,181.2801
ARG,PAK,45.756,22.8885,54.3682,50.8367,43.6412,53.2882,56.5236,79.5546,165.2593,65.8015,55.6291,46.5932,72.4689,131.3342,301.2062,396.1445,260.8257,191.5975,93.7742,100.4813,114.5295
ARG,PER,297.9426,398.6008,493.3707,461.8887,508.2804,644.9058,730.4456,1015.5186,1387.6062,813.7256,1176.7317,1795.4868,2151.6779,1554.4531,1162.3628,833.5899,837.26,1086.6907,1153.9188,1600.0552,1453.764
ARG,PHL,16.9339,96.8694,154.2168,219.3132,271.4643,274.661,262.004,403.7159,483.7288,436.6201,359.679,436.2303,274.7838,382.0278,570.5084,235.257,323.0369,273.3334,293.933,323.9638,214.478
ARG,POL,49.9702,46.6592,65.9593,156.8275,242.4427,347.2156,416.6174,518.181,607.0339,561.9271,522.2058,667.6144,734.5547,617.1802,724.9498,567.7448,629.0834,636.7092,620.5265,536.56,614.1253
ARG,PRT,139.638,146.9483,137.658,169.8786,162.653,145.6909,99.9954,209.6176,375.7901,147.8358,105.6104,176.8672,92.2013,77.0586,70.5825,44.9167,110.4153,97.1423,78.5569,96.0321,84.5495
ARG,RUS,90.7109,124.345,159.0087,207.5354,340.1416,607.4428,872.8155,912.607,1025.2212,963.1487,759.5035,921.2548,1035.2419,920.1461,922.0051,585.7835,546.6294,563.4875,764.6464,714.5188,673.6294
ARG,SAU,38.4019,57.8013,82.617,155.1025,172.8698,247.4762,373.2009,466.3083,512.1834,314.0592,349.4942,637.0708,831.589,1374.7614,956.0317,470.6236,702.6416,716.9712,929.4716,1108.8257,889.1631
ARG,SEN,5.7351,12.3501,22.3537,20.3967,21.4122,23.9078,74.6221,68.7612,103.2128,85.2881,93.3264,95.9851,111.5395,61.2842,73.8224,59.45,53.7237,77.0004,103.1252,88.2197,84.8102
ARG,SGP,34.2632,34.5213,19.0604,13.1661,17.9071,20.3698,44.2172,35.3915,68.6307,45.6094,60.5566,71.811,56.1438,120.2347,154.8543,174.4867,63.8152,45.0398,54.7302,101.852,74.3114
ARG,SVK,3.7287,1.6449,3.2306,5.0752,4.1132,3.8147,7.2862,10.6397,10.1825,9.6709,13.7568,18.4651,11.5665,8.301,11.842,10.4104,33.7513,42.3252,40.7892,45.1537,26.8987
ARG,SVN,7.4081,10.3154,5.528,14.9372,14.7353,61.9695,84.0463,111.7694,85.173,73.9821,48.5862,65.0723,46.2819,41.2292,57.0239,47.0386,33.6819,32.4069,33.8612,29.527,19.768
ARG,SWE,36.5799,26.736,46.3909,81.9279,61.8733,30.8117,41.3884,64.0849,51.6487,44.616,57.0933,67.4337,80.6262,77.6052,69.8284,60.1849,73.6253,61.5254,50.7945,49.6303,31.3162
ARG,THA,197.3321,325.9962,307.5616,447.237,312.8405,332.9664,263.2198,400.049,475.4322,408.9703,465.1292,564.2892,651.2447,979.0893,662.1751,445.7866,538.6684,529.5675,527.4922,594.8598,448.1377
ARG,TUN,70.2511,97.9884,104.7325,101.2281,135.1397,118.5862,120.0395,180.4728,356.7306,132.3446,130.954,280.993,201.3121,224.083,181.866,73.9828,125.7483,136.0501,67.1186,127.7615,117.2905
ARG,TUR,81.0151,59.3438,95.6986,212.7549,252.7252,236.6436,263.6604,336.7617,636.1345,201.6502,252.064,513.161,337.7105,478.5782,422.5628,338.4536,512.6186,546.1994,497.1884,504.5215,520.2384
