iso_o,TIME_PERIOD,schooling
CIV,2020,10.10165024
CMR,2000,7.393889904
CMR,2001,8.67166996
CMR,2002,8.403800011
CMR,2003,8.556240082
CMR,2004,8.608369827
CMR,2005,8.567790031
CMR,2006,8.321900368
CMR,2007,9.09265995
CMR,2008,9.529709816
CMR,2009,10.00405025
CMR,2010,10.37228012
CMR,2011,10.74050999
CMR,2012,11.32874012
CMR,2013,11.63219023
CMR,2014,11.93564034
CMR,2015,12.20610046
CMR,2016,12.13076019
CMR,2017,11.84122219
CMR,2018,11.55168419
CMR,2019,11.26214619
CMR,2020,10.97260818
COL,2000,12.15445042
COL,2001,12.15618515
COL,2002,12.15791988
COL,2003,12.40696001
COL,2004,12.65600014
COL,2005,13.17887974
COL,2006,13.52441025
COL,2007,13.78964996
COL,2008,13.99300003
COL,2009,14.43908978
COL,2010,14.41386032
COL,2011,14.50032043
COL,2012,14.18010044
COL,2013,14.7003603
COL,2014,14.60217953
COL,2015,14.64527988
COL,2016,14.76609039
COL,2017,14.73616982
COL,2018,14.62864017
COL,2019,14.52388
COL,2020,14.27917004
CRI,2000,11.46004009
CRI,2001,11.61226511
CRI,2002,11.76449013
CRI,2003,11.91671515
CRI,2004,12.06894016
CRI,2005,12.34011868
CRI,2006,12.6112972
CRI,2007,12.88247572
CRI,2008,13.15365423
CRI,2009,13.42483275
CRI,2010,13.69601127
CRI,2011,13.96718979
CRI,2012,14.13411999
CRI,2013,14.33946991
CRI,2014,14.63490963
CRI,2015,14.69305038
CRI,2016,14.81766033
CRI,2017,15.06278992
CRI,2018,15.22842026
CRI,2019,15.8384304
CRI,2020,16.09200378
CYP,2000,12.40380001
CYP,2001,12.50660992
CYP,2002,12.97183037
CYP,2003,13.34300041
CYP,2004,13.46362972
CYP,2005,13.36178017
CYP,2006,13.39218998
CYP,2007,13.44102955
CYP,2008,13.6665802
CYP,2009,14.02830029
CYP,2010,13.99242973
CYP,2011,13.94190979
CYP,2012,13.95650005
CYP,2013,14.1801796
CYP,2014,14.46158028
CYP,2015,14.82831001
CYP,2016,15.03357983
CYP,2017,15.50938988
CYP,2018,15.6956501
CYP,2019,16.0143795
CYP,2020,16.22817039
CZE,2000,14.02147961
CZE,2001,14.46613979
CZE,2002,14.8226099
CZE,2003,15.16322994
CZE,2004,14.99580002
CZE,2005,15.25259018
CZE,2006,15.38356018
CZE,2007,15.63811016
CZE,2008,15.67990017
CZE,2009,15.9990797
CZE,2010,16.21603012
CZE,2011,16.36347008
CZE,2012,16.35502052
CZE,2013,16.85703087
CZE,2014,16.96136093
CZE,2015,16.95470047
CZE,2016,16.78609085
CZE,2017,16.67814064
CZE,2018,16.12398911
CZE,2019,16.10343933
CZE,2020,16.1389904
DEU,2000,16.16333967
DEU,2001,16.23499274
DEU,2002,16.30664581
DEU,2003,16.37829888
DEU,2004,16.44995195
DEU,2005,16.52160501
DEU,2006,16.59325808
DEU,2007,16.66491115
DEU,2008,16.73656422
DEU,2009,16.80821729
DEU,2010,16.87987036
DEU,2011,16.95152342
DEU,2012,17.02317649
DEU,2013,17.09482956
DEU,2014,17.11840057
DEU,2015,17.11218071
DEU,2016,16.87516975
DEU,2017,16.98994064
DEU,2018,17.04191971
DEU,2019,17.22438049
DEU,2020,17.22598076
DNK,2000,16.20286942
DNK,2001,16.54718018
DNK,2002,16.20438957
DNK,2003,16.36174965
DNK,2004,16.51910973
DNK,2005,16.77968979
DNK,2006,16.64613914
DNK,2007,16.80562973
DNK,2008,16.71553993
DNK,2009,16.71541023
DNK,2010,16.89028931
DNK,2011,18.35436058
DNK,2012,18.6772995
DNK,2013,19.17308044
DNK,2014,19.2089901
DNK,2015,19.2968998
DNK,2016,19.0395298
