iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist
AUT,ESP,0,0,0,0,1811.999,7.502185934726393
AUT,EST,0,0,0,0,1360.358,7.215503179383884
AUT,FIN,0,0,0,0,1437.813,7.270878488100216
AUT,FRA,0,0,0,0,1035.144,6.942295826456511
AUT,GBR,0,0,0,0,1238.199,7.121413183460835
AUT,GRC,0,0,0,0,1283.6,7.1574239092357015
AUT,HKG,0,0,0,0,8739.125,9.075565349221323
AUT,HRV,0,0,1,0,270.6798,5.600936572483894
AUT,HUN,1,0,0,0,215.6626,5.373715149395349
AUT,IDN,0,0,0,0,10553.88,9.264248843804328
AUT,IND,0,0,0,0,5571.096,8.62534708196712
AUT,IRL,0,0,0,0,1681.996,7.427736462408782
AUT,ISL,0,0,0,0,2891.521,7.969537940238336
AUT,ISR,0,0,0,0,2369.546,7.7704536545975555
AUT,ITA,1,0,0,0,767.4132,6.64302537860315
AUT,JOR,0,0,0,0,2446.274,7.802321329597264
AUT,JPN,0,0,0,0,9141.063,9.120531959655011
AUT,KAZ,0,0,0,0,4615.688,8.437216214915694
AUT,KHM,0,0,0,0,8951.857,9.099616275780171
AUT,KOR,0,0,0,0,8289.029,9.022688112198026
AUT,LAO,0,0,0,0,8263.672,9.019624319789145
AUT,LTU,0,0,0,0,948.9832,6.85539109560813
AUT,LUX,0,1,0,0,762.4356,6.63651804589831
AUT,LVA,0,0,0,0,1102.181,7.005046223049783
AUT,MAR,0,0,0,0,2488.828,7.819567195921942
AUT,MEX,0,0,0,0,10163.51,9.226559133911554
AUT,MLT,0,0,0,0,1379.07,7.229164637926305
AUT,MMR,0,0,0,0,7883.924,8.972581028449385
AUT,MYS,0,0,0,0,9410.919,9.149625889872434
AUT,NGA,0,0,0,0,4806.406,8.477704890464535
AUT,NLD,0,0,0,0,934.7828,6.840314202837746
AUT,NOR,0,0,0,0,1351.699,7.209117598680379
AUT,NZL,0,0,0,0,18322.31,9.815874721982288
AUT,PAK,0,0,0,0,4915.899,8.500229925316205
AUT,PER,0,0,0,0,11269.33,9.329840155399705
AUT,PHL,0,0,0,0,9853.35,9.195566777867564
AUT,POL,0,0,0,0,556.8245,6.322250109488957
AUT,PRT,0,0,0,0,2299.266,7.7403452205495045
AUT,RUS,0,0,0,0,1675.699,7.4239856706409695
AUT,SAU,0,0,0,0,3734.89,8.22547364599534
AUT,SEN,0,0,0,0,4854.112,8.487581459773956
AUT,SGP,0,0,0,0,9723.795,9.182331253354471
AUT,SVK,1,0,0,0,59.61723,4.087944626251429
