iso_o,iso_d,TIME_PERIOD,OBS_VALUE
BLR,ARG,2019,0.055
BLR,ARG,2020,0.03
BRA,ARG,2000,11.14
BRA,ARG,2001,10.066
BRA,ARG,2002,5.456
BRA,ARG,2003,7.894
BRA,ARG,2004,10.523
BRA,ARG,2005,11.101
BRA,ARG,2006,11.171
BRA,ARG,2007,11.183
BRA,ARG,2008,12.292
BRA,ARG,2009,8.796
BRA,ARG,2010,12.361
BRA,ARG,2011,14.125
BRA,ARG,2012,12.864
BRA,ARG,2013,13.291
BRA,ARG,2014,11.145
BRA,ARG,2015,13.257
BRA,ARG,2016,12.158
BRA,ARG,2017,13.84
BRA,ARG,2018,11.431
BRA,ARG,2019,7.833
BRA,ARG,2020,8.459
BRN,ARG,2000,0.0
BRN,ARG,2001,0.0
BRN,ARG,2002,0.0
BRN,ARG,2003,0.0
BRN,ARG,2004,0.0
BRN,ARG,2005,0.0
BRN,ARG,2006,0.0
BRN,ARG,2007,0.0
BRN,ARG,2008,0.0
BRN,ARG,2009,0.0
BRN,ARG,2010,0.0
BRN,ARG,2011,0.0
BRN,ARG,2012,0.0
BRN,ARG,2013,0.0
BRN,ARG,2014,0.0
BRN,ARG,2015,0.0
BRN,ARG,2016,0.0
BRN,ARG,2017,0.0
BRN,ARG,2018,0.0
BRN,ARG,2019,0.0
BRN,ARG,2020,0.0
CAN,ARG,2000,0.335
CAN,ARG,2001,0.277
CAN,ARG,2002,0.136
CAN,ARG,2003,0.161
CAN,ARG,2004,0.225
CAN,ARG,2005,0.173
CAN,ARG,2006,0.179
CAN,ARG,2007,0.206
CAN,ARG,2008,0.262
CAN,ARG,2009,0.183
CAN,ARG,2010,0.247
CAN,ARG,2011,0.311
CAN,ARG,2012,0.321
CAN,ARG,2013,0.339
CAN,ARG,2014,0.352
CAN,ARG,2015,0.338
CAN,ARG,2016,0.339
CAN,ARG,2017,0.447
CAN,ARG,2018,0.259
CAN,ARG,2019,0.23
CAN,ARG,2020,0.177
CHE,ARG,2000,0.132
CHE,ARG,2001,0.11
CHE,ARG,2002,0.049
CHE,ARG,2003,0.058
CHE,ARG,2004,0.08
CHE,ARG,2005,0.062
CHE,ARG,2006,0.083
CHE,ARG,2007,0.084
CHE,ARG,2008,0.096
CHE,ARG,2009,0.101
CHE,ARG,2010,0.128
CHE,ARG,2011,0.142
CHE,ARG,2012,0.135
CHE,ARG,2013,0.136
CHE,ARG,2014,0.111
CHE,ARG,2015,0.131
CHE,ARG,2016,0.121
CHE,ARG,2017,0.144
CHE,ARG,2018,0.139
CHE,ARG,2019,0.1
CHE,ARG,2020,0.076
CHL,ARG,2000,0.898
CHL,ARG,2001,0.779
CHL,ARG,2002,0.465
CHL,ARG,2003,0.576
CHL,ARG,2004,0.722
CHL,ARG,2005,0.907
CHL,ARG,2006,0.835
CHL,ARG,2007,0.946
CHL,ARG,2008,0.979
CHL,ARG,2009,0.794
CHL,ARG,2010,0.888
CHL,ARG,2011,1.026
CHL,ARG,2012,1.007
CHL,ARG,2013,0.994
CHL,ARG,2014,0.842
CHL,ARG,2015,0.886
CHL,ARG,2016,0.912
CHL,ARG,2017,1.056
CHL,ARG,2018,0.756
CHL,ARG,2019,0.632
CHL,ARG,2020,0.524
CHN,ARG,2000,3.244
CHN,ARG,2001,3.202
CHN,ARG,2002,1.313
CHN,ARG,2003,2.512
CHN,ARG,2004,4.4
CHN,ARG,2005,4.658
CHN,ARG,2006,7.045
CHN,ARG,2007,10.67
CHN,ARG,2008,13.017
CHN,ARG,2009,8.076
CHN,ARG,2010,10.955
CHN,ARG,2011,14.198
CHN,ARG,2012,12.629
CHN,ARG,2013,13.734
CHN,ARG,2014,12.368
CHN,ARG,2015,11.747
CHN,ARG,2016,10.127
CHN,ARG,2017,11.083
CHN,ARG,2018,11.05
CHN,ARG,2019,9.648
CHN,ARG,2020,9.467
CIV,ARG,2000,0.725
CIV,ARG,2001,0.007
CIV,ARG,2002,0.001
CIV,ARG,2003,0.002
CIV,ARG,2004,0.008
CIV,ARG,2005,0.003
CIV,ARG,2006,0.004
CIV,ARG,2007,0.002
CIV,ARG,2008,0.012
CIV,ARG,2009,0.002
CIV,ARG,2010,0.005
CIV,ARG,2011,0.005
CIV,ARG,2012,0.006
CIV,ARG,2013,0.006
CIV,ARG,2014,0.004
CIV,ARG,2015,0.005
CIV,ARG,2016,0.004
CIV,ARG,2017,0.012
CIV,ARG,2018,0.002
CIV,ARG,2019,0.001
CIV,ARG,2020,0.001
CMR,ARG,2000,0.0
CMR,ARG,2001,0.0
CMR,ARG,2002,0.0
CMR,ARG,2003,0.0
CMR,ARG,2004,0.002
CMR,ARG,2005,0.0
CMR,ARG,2006,0.0
CMR,ARG,2007,0.0
CMR,ARG,2008,0.0
CMR,ARG,2009,0.001
CMR,ARG,2010,0.001
CMR,ARG,2011,0.004
CMR,ARG,2012,0.0
CMR,ARG,2013,0.001
CMR,ARG,2014,0.0
CMR,ARG,2015,0.001
CMR,ARG,2016,0.001
CMR,ARG,2017,0.001
CMR,ARG,2018,0.001
CMR,ARG,2019,0.005
CMR,ARG,2020,0.0
COL,ARG,2000,0.086
COL,ARG,2001,0.065
COL,ARG,2002,0.032
COL,ARG,2003,0.027
COL,ARG,2004,0.082
COL,ARG,2005,0.074
COL,ARG,2006,0.07
COL,ARG,2007,0.101
COL,ARG,2008,0.124
COL,ARG,2009,0.125
COL,ARG,2010,0.115
COL,ARG,2011,0.235
COL,ARG,2012,0.205
COL,ARG,2013,0.194
COL,ARG,2014,0.247
COL,ARG,2015,0.237
COL,ARG,2016,0.241
COL,ARG,2017,0.236
COL,ARG,2018,0.194
COL,ARG,2019,0.12
COL,ARG,2020,0.128
CRI,ARG,2000,0.016
CRI,ARG,2001,0.013
CRI,ARG,2002,0.006
CRI,ARG,2003,0.005
CRI,ARG,2004,0.01
CRI,ARG,2005,0.006
CRI,ARG,2006,0.008
CRI,ARG,2007,0.01
CRI,ARG,2008,0.012
CRI,ARG,2009,0.009
CRI,ARG,2010,0.01
CRI,ARG,2011,0.013
CRI,ARG,2012,0.011
CRI,ARG,2013,0.012
CRI,ARG,2014,0.009
CRI,ARG,2015,0.01
CRI,ARG,2016,0.012
CRI,ARG,2017,0.014
CRI,ARG,2018,0.013
CRI,ARG,2019,0.012
CRI,ARG,2020,0.01
CYP,ARG,2000,0.003
CYP,ARG,2001,0.002
CYP,ARG,2002,0.001
CYP,ARG,2003,0.002
CYP,ARG,2004,0.001
CYP,ARG,2005,0.001
CYP,ARG,2006,0.001
CYP,ARG,2007,0.0
CYP,ARG,2008,0.001
CYP,ARG,2009,0.001
CYP,ARG,2010,0.001
CYP,ARG,2011,0.001
CYP,ARG,2012,0.001
CYP,ARG,2013,0.001
CYP,ARG,2014,0.001
CYP,ARG,2015,0.001
CYP,ARG,2016,0.001
CYP,ARG,2017,0.001
CYP,ARG,2018,0.001
CYP,ARG,2019,0.001
CYP,ARG,2020,0.001
CZE,ARG,2000,0.047
CZE,ARG,2001,0.041
CZE,ARG,2002,0.024
CZE,ARG,2003,0.031
CZE,ARG,2004,0.084
CZE,ARG,2005,0.014
CZE,ARG,2006,0.083
CZE,ARG,2007,0.059
CZE,ARG,2008,0.066
CZE,ARG,2009,0.062
CZE,ARG,2010,0.097
CZE,ARG,2011,0.106
CZE,ARG,2012,0.109
CZE,ARG,2013,0.114
CZE,ARG,2014,0.108
CZE,ARG,2015,0.102
CZE,ARG,2016,0.096
CZE,ARG,2017,0.095
CZE,ARG,2018,0.094
CZE,ARG,2019,0.065
CZE,ARG,2020,0.048
DEU,ARG,2000,1.118
DEU,ARG,2001,0.919
DEU,ARG,2002,0.465
DEU,ARG,2003,0.5
DEU,ARG,2004,0.686
DEU,ARG,2005,0.761
DEU,ARG,2006,0.811
DEU,ARG,2007,0.999
DEU,ARG,2008,1.174
DEU,ARG,2009,1.056
DEU,ARG,2010,1.603
DEU,ARG,2011,1.63
DEU,ARG,2012,1.693
DEU,ARG,2013,1.705
DEU,ARG,2014,1.495
DEU,ARG,2015,1.71
DEU,ARG,2016,1.647
DEU,ARG,2017,1.756
DEU,ARG,2018,1.678
DEU,ARG,2019,1.328
DEU,ARG,2020,0.78
DNK,ARG,2000,0.164
DNK,ARG,2001,0.13
DNK,ARG,2002,0.068
DNK,ARG,2003,0.076
DNK,ARG,2004,0.09
DNK,ARG,2005,0.093
DNK,ARG,2006,0.14
DNK,ARG,2007,0.152
DNK,ARG,2008,0.165
DNK,ARG,2009,0.145
DNK,ARG,2010,0.158
DNK,ARG,2011,0.225
DNK,ARG,2012,0.179
DNK,ARG,2013,0.187
DNK,ARG,2014,0.177
DNK,ARG,2015,0.229
DNK,ARG,2016,0.254
DNK,ARG,2017,0.288
DNK,ARG,2018,0.309
DNK,ARG,2019,0.25
DNK,ARG,2020,0.146
EGY,ARG,2000,0.109
EGY,ARG,2001,0.055
EGY,ARG,2002,0.017
EGY,ARG,2003,0.041
EGY,ARG,2004,0.136
EGY,ARG,2005,0.026
EGY,ARG,2006,0.056
EGY,ARG,2007,0.085
EGY,ARG,2008,0.234
EGY,ARG,2009,0.077
EGY,ARG,2010,0.056
EGY,ARG,2011,0.053
EGY,ARG,2012,0.027
EGY,ARG,2013,0.045
EGY,ARG,2014,0.024
EGY,ARG,2015,0.016
EGY,ARG,2016,0.016
EGY,ARG,2017,0.057
EGY,ARG,2018,0.073
EGY,ARG,2019,0.085
EGY,ARG,2020,0.108
ESP,ARG,2000,1.304
ESP,ARG,2001,1.039
ESP,ARG,2002,0.484
ESP,ARG,2003,0.558
ESP,ARG,2004,0.618
ESP,ARG,2005,0.778
ESP,ARG,2006,0.741
ESP,ARG,2007,0.82
ESP,ARG,2008,0.948
ESP,ARG,2009,0.647
ESP,ARG,2010,0.804
ESP,ARG,2011,0.971
ESP,ARG,2012,0.896
ESP,ARG,2013,0.881
ESP,ARG,2014,0.718
ESP,ARG,2015,0.771
ESP,ARG,2016,0.816
ESP,ARG,2017,1.091
ESP,ARG,2018,1.021
ESP,ARG,2019,0.812
ESP,ARG,2020,0.429
EST,ARG,2000,0.007
EST,ARG,2001,0.007
EST,ARG,2002,0.002
EST,ARG,2003,0.003
EST,ARG,2004,0.003
EST,ARG,2005,0.016
EST,ARG,2006,0.003
EST,ARG,2007,0.003
EST,ARG,2008,0.004
EST,ARG,2009,0.002
EST,ARG,2010,0.004
EST,ARG,2011,0.006
EST,ARG,2012,0.004
EST,ARG,2013,0.005
EST,ARG,2014,0.008
EST,ARG,2015,0.025
EST,ARG,2016,0.012
EST,ARG,2017,0.009
EST,ARG,2018,0.015
EST,ARG,2019,0.006
EST,ARG,2020,0.004
FIN,ARG,2000,0.151
FIN,ARG,2001,0.086
FIN,ARG,2002,0.035
FIN,ARG,2003,0.055
FIN,ARG,2004,0.072
FIN,ARG,2005,0.048
FIN,ARG,2006,0.109
FIN,ARG,2007,0.116
FIN,ARG,2008,0.163
FIN,ARG,2009,0.111
FIN,ARG,2010,0.17
FIN,ARG,2011,0.196
FIN,ARG,2012,0.172
FIN,ARG,2013,0.158
FIN,ARG,2014,0.117
FIN,ARG,2015,0.124
FIN,ARG,2016,0.129
FIN,ARG,2017,0.183
FIN,ARG,2018,0.14
FIN,ARG,2019,0.107
FIN,ARG,2020,0.085
FRA,ARG,2000,0.791
FRA,ARG,2001,0.614
FRA,ARG,2002,0.207
FRA,ARG,2003,0.232
FRA,ARG,2004,0.359
FRA,ARG,2005,0.406
FRA,ARG,2006,0.486
FRA,ARG,2007,0.52
FRA,ARG,2008,0.607
FRA,ARG,2009,0.479
FRA,ARG,2010,0.668
FRA,ARG,2011,0.681
FRA,ARG,2012,0.689
FRA,ARG,2013,0.749
FRA,ARG,2014,0.621
FRA,ARG,2015,0.665
FRA,ARG,2016,0.621
FRA,ARG,2017,0.679
FRA,ARG,2018,0.566
FRA,ARG,2019,0.456
FRA,ARG,2020,0.306
GBR,ARG,2000,0.578
GBR,ARG,2001,0.509
GBR,ARG,2002,0.194
GBR,ARG,2003,0.203
GBR,ARG,2004,0.281
GBR,ARG,2005,0.243
GBR,ARG,2006,0.274
GBR,ARG,2007,0.303
GBR,ARG,2008,0.315
GBR,ARG,2009,0.261
GBR,ARG,2010,0.339
GBR,ARG,2011,0.418
GBR,ARG,2012,0.35
GBR,ARG,2013,0.332
GBR,ARG,2014,0.286
GBR,ARG,2015,0.319
GBR,ARG,2016,0.316
GBR,ARG,2017,0.333
GBR,ARG,2018,0.322
GBR,ARG,2019,0.298
GBR,ARG,2020,0.157
GRC,ARG,2000,0.081
GRC,ARG,2001,0.06
GRC,ARG,2002,0.024
GRC,ARG,2003,0.022
GRC,ARG,2004,0.049
GRC,ARG,2005,0.025
GRC,ARG,2006,0.023
GRC,ARG,2007,0.027
GRC,ARG,2008,0.031
GRC,ARG,2009,0.024
GRC,ARG,2010,0.026
GRC,ARG,2011,0.055
GRC,ARG,2012,0.047
GRC,ARG,2013,0.045
GRC,ARG,2014,0.061
GRC,ARG,2015,0.058
GRC,ARG,2016,0.047
GRC,ARG,2017,0.082
GRC,ARG,2018,0.049
GRC,ARG,2019,0.051
GRC,ARG,2020,0.03
HKG,ARG,2000,0.073
HKG,ARG,2001,0.057
HKG,ARG,2002,0.031
HKG,ARG,2003,0.048
HKG,ARG,2004,0.044
HKG,ARG,2005,0.205
HKG,ARG,2006,0.074
HKG,ARG,2007,0.079
HKG,ARG,2008,0.081
HKG,ARG,2009,0.03
HKG,ARG,2010,0.043
HKG,ARG,2011,0.041
HKG,ARG,2012,0.032
HKG,ARG,2013,0.028
HKG,ARG,2014,0.026
HKG,ARG,2015,0.025
HKG,ARG,2016,0.026
HKG,ARG,2017,0.033
HKG,ARG,2018,0.027
HKG,ARG,2019,0.022
HKG,ARG,2020,0.01
HRV,ARG,2000,0.004
HRV,ARG,2001,0.005
HRV,ARG,2002,0.002
HRV,ARG,2003,0.002
HRV,ARG,2004,0.002
HRV,ARG,2005,0.002
HRV,ARG,2006,0.003
HRV,ARG,2007,0.003
HRV,ARG,2008,0.004
HRV,ARG,2009,0.005
HRV,ARG,2010,0.003
HRV,ARG,2011,0.01
HRV,ARG,2012,0.003
HRV,ARG,2013,0.003
HRV,ARG,2014,0.003
HRV,ARG,2015,0.003
HRV,ARG,2016,0.003
HRV,ARG,2017,0.009
HRV,ARG,2018,0.011
HRV,ARG,2019,0.011
HRV,ARG,2020,0.001
HUN,ARG,2000,0.084
HUN,ARG,2001,0.066
HUN,ARG,2002,0.044
HUN,ARG,2003,0.049
HUN,ARG,2004,0.047
HUN,ARG,2005,0.009
HUN,ARG,2006,0.033
HUN,ARG,2007,0.038
HUN,ARG,2008,0.039
HUN,ARG,2009,0.036
HUN,ARG,2010,0.054
HUN,ARG,2011,0.077
HUN,ARG,2012,0.076
HUN,ARG,2013,0.078
HUN,ARG,2014,0.054
HUN,ARG,2015,0.076
HUN,ARG,2016,0.109
HUN,ARG,2017,0.137
HUN,ARG,2018,0.129
HUN,ARG,2019,0.079
HUN,ARG,2020,0.073
IDN,ARG,2000,0.431
IDN,ARG,2001,0.407
IDN,ARG,2002,0.143
IDN,ARG,2003,0.192
IDN,ARG,2004,0.323
IDN,ARG,2005,0.282
IDN,ARG,2006,0.442
IDN,ARG,2007,0.421
IDN,ARG,2008,0.385
IDN,ARG,2009,0.337
IDN,ARG,2010,0.593
IDN,ARG,2011,0.758
IDN,ARG,2012,0.704
IDN,ARG,2013,0.788
IDN,ARG,2014,0.691
IDN,ARG,2015,0.597
IDN,ARG,2016,0.395
IDN,ARG,2017,0.377
IDN,ARG,2018,0.342
IDN,ARG,2019,0.299
IDN,ARG,2020,0.247
IND,ARG,2000,0.748
IND,ARG,2001,0.818
IND,ARG,2002,0.36
IND,ARG,2003,0.528
IND,ARG,2004,0.703
IND,ARG,2005,0.788
IND,ARG,2006,1.006
IND,ARG,2007,1.111
IND,ARG,2008,1.308
IND,ARG,2009,1.038
IND,ARG,2010,1.409
IND,ARG,2011,1.444
IND,ARG,2012,1.544
IND,ARG,2013,1.783
IND,ARG,2014,1.55
IND,ARG,2015,1.464
IND,ARG,2016,1.447
IND,ARG,2017,1.491
IND,ARG,2018,1.679
IND,ARG,2019,1.578
IND,ARG,2020,1.667
IRL,ARG,2000,0.052
IRL,ARG,2001,0.056
IRL,ARG,2002,0.033
IRL,ARG,2003,0.041
IRL,ARG,2004,0.035
IRL,ARG,2005,0.03
IRL,ARG,2006,0.044
IRL,ARG,2007,0.039
IRL,ARG,2008,0.045
IRL,ARG,2009,0.038
IRL,ARG,2010,0.06
IRL,ARG,2011,0.072
IRL,ARG,2012,0.082
IRL,ARG,2013,0.098
IRL,ARG,2014,0.1
IRL,ARG,2015,0.074
IRL,ARG,2016,0.09
IRL,ARG,2017,0.095
IRL,ARG,2018,0.098
IRL,ARG,2019,0.087
IRL,ARG,2020,0.069
ISL,ARG,2000,0.001
ISL,ARG,2001,0.001
ISL,ARG,2002,0.001
ISL,ARG,2003,0.0
ISL,ARG,2004,0.001
ISL,ARG,2005,0.0
ISL,ARG,2006,0.001
ISL,ARG,2007,0.001
ISL,ARG,2008,0.002
ISL,ARG,2009,0.0
ISL,ARG,2010,0.001
ISL,ARG,2011,0.002
ISL,ARG,2012,0.001
ISL,ARG,2013,0.001
ISL,ARG,2014,0.002
ISL,ARG,2015,0.001
ISL,ARG,2016,0.002
ISL,ARG,2017,0.002
ISL,ARG,2018,0.002
ISL,ARG,2019,0.001
ISL,ARG,2020,0.001
ISR,ARG,2000,0.147
ISR,ARG,2001,0.102
ISR,ARG,2002,0.036
ISR,ARG,2003,0.056
ISR,ARG,2004,0.073
ISR,ARG,2005,0.067
ISR,ARG,2006,0.093
ISR,ARG,2007,0.102
ISR,ARG,2008,0.091
ISR,ARG,2009,0.055
ISR,ARG,2010,0.081
ISR,ARG,2011,0.108
ISR,ARG,2012,0.085
ISR,ARG,2013,0.083
ISR,ARG,2014,0.066
ISR,ARG,2015,0.069
ISR,ARG,2016,0.067
ISR,ARG,2017,0.077
ISR,ARG,2018,0.093
ISR,ARG,2019,0.074
ISR,ARG,2020,0.059
ITA,ARG,2000,1.133
ITA,ARG,2001,0.901
ITA,ARG,2002,0.338
ITA,ARG,2003,0.42
ITA,ARG,2004,0.51
ITA,ARG,2005,0.577
ITA,ARG,2006,0.632
ITA,ARG,2007,0.642
ITA,ARG,2008,0.705
ITA,ARG,2009,0.472
ITA,ARG,2010,0.733
ITA,ARG,2011,0.841
ITA,ARG,2012,0.801
ITA,ARG,2013,0.86
ITA,ARG,2014,0.82
ITA,ARG,2015,0.729
ITA,ARG,2016,0.769
ITA,ARG,2017,0.846
ITA,ARG,2018,0.762
ITA,ARG,2019,0.599
ITA,ARG,2020,0.412
JOR,ARG,2000,0.004
JOR,ARG,2001,0.002
JOR,ARG,2002,0.001
JOR,ARG,2003,0.001
JOR,ARG,2004,0.0
JOR,ARG,2005,0.002
JOR,ARG,2006,0.001
JOR,ARG,2007,0.001
JOR,ARG,2008,0.002
JOR,ARG,2009,0.002
JOR,ARG,2010,0.002
JOR,ARG,2011,0.003
JOR,ARG,2012,0.004
JOR,ARG,2013,0.007
JOR,ARG,2014,0.007
JOR,ARG,2015,0.004
JOR,ARG,2016,0.004
JOR,ARG,2017,0.008
JOR,ARG,2018,0.008
JOR,ARG,2019,0.006
JOR,ARG,2020,0.002
JPN,ARG,2000,0.468
JPN,ARG,2001,0.424
JPN,ARG,2002,0.234
JPN,ARG,2003,0.223
JPN,ARG,2004,0.285
JPN,ARG,2005,0.26
JPN,ARG,2006,0.402
JPN,ARG,2007,0.551
JPN,ARG,2008,0.54
JPN,ARG,2009,0.338
JPN,ARG,2010,0.424
JPN,ARG,2011,0.482
JPN,ARG,2012,0.474
JPN,ARG,2013,0.54
JPN,ARG,2014,0.568
JPN,ARG,2015,0.514
JPN,ARG,2016,0.399
JPN,ARG,2017,0.43
JPN,ARG,2018,0.439
JPN,ARG,2019,0.344
JPN,ARG,2020,0.266
KAZ,ARG,2000,0.127
KAZ,ARG,2001,0.044
KAZ,ARG,2002,0.02
KAZ,ARG,2003,0.016
KAZ,ARG,2004,0.035
KAZ,ARG,2005,0.001
KAZ,ARG,2006,0.026
KAZ,ARG,2007,0.013
KAZ,ARG,2008,0.025
KAZ,ARG,2009,0.015
KAZ,ARG,2010,0.02
KAZ,ARG,2011,0.013
KAZ,ARG,2012,0.004
KAZ,ARG,2013,0.007
KAZ,ARG,2014,0.021
KAZ,ARG,2015,0.009
KAZ,ARG,2016,0.008
KAZ,ARG,2017,0.011
KAZ,ARG,2018,0.008
KAZ,ARG,2019,0.003
KAZ,ARG,2020,0.007
KHM,ARG,2000,0.02
KHM,ARG,2001,0.014
KHM,ARG,2002,0.003
KHM,ARG,2003,0.002
KHM,ARG,2004,0.003
KHM,ARG,2005,0.001
KHM,ARG,2006,0.009
KHM,ARG,2007,0.01
KHM,ARG,2008,0.017
KHM,ARG,2009,0.013
KHM,ARG,2010,0.014
KHM,ARG,2011,0.021
KHM,ARG,2012,0.013
KHM,ARG,2013,0.016
KHM,ARG,2014,0.009
KHM,ARG,2015,0.01
KHM,ARG,2016,0.009
KHM,ARG,2017,0.01
KHM,ARG,2018,0.01
KHM,ARG,2019,0.009
KHM,ARG,2020,0.008
KOR,ARG,2000,0.722
KOR,ARG,2001,0.605
KOR,ARG,2002,0.122
KOR,ARG,2003,0.226
KOR,ARG,2004,0.346
KOR,ARG,2005,0.313
KOR,ARG,2006,0.34
KOR,ARG,2007,0.362
KOR,ARG,2008,0.523
KOR,ARG,2009,0.509
KOR,ARG,2010,0.674
KOR,ARG,2011,0.857
KOR,ARG,2012,0.785
KOR,ARG,2013,0.787
KOR,ARG,2014,0.638
KOR,ARG,2015,0.638
KOR,ARG,2016,0.575
KOR,ARG,2017,0.54
KOR,ARG,2018,0.449
KOR,ARG,2019,0.445
KOR,ARG,2020,0.251
LAO,ARG,2000,0.0
LAO,ARG,2001,0.0
LAO,ARG,2002,0.0
LAO,ARG,2003,0.0
LAO,ARG,2004,0.001
LAO,ARG,2005,0.0
LAO,ARG,2006,0.0
LAO,ARG,2007,0.002
LAO,ARG,2008,0.002
LAO,ARG,2009,0.001
LAO,ARG,2010,0.0
LAO,ARG,2011,0.001
LAO,ARG,2012,0.001
LAO,ARG,2013,0.001
LAO,ARG,2014,0.0
LAO,ARG,2015,0.0
LAO,ARG,2016,0.001
LAO,ARG,2017,0.001
LAO,ARG,2018,0.001
LAO,ARG,2019,0.001
LAO,ARG,2020,0.0
LTU,ARG,2000,0.032
LTU,ARG,2001,0.002
LTU,ARG,2002,0.011
LTU,ARG,2003,0.001
LTU,ARG,2004,0.006
LTU,ARG,2005,0.011
LTU,ARG,2006,0.01
LTU,ARG,2007,0.036
LTU,ARG,2008,0.055
LTU,ARG,2009,0.001
LTU,ARG,2010,0.025
LTU,ARG,2011,0.013
LTU,ARG,2012,0.056
LTU,ARG,2013,0.021
LTU,ARG,2014,0.02
LTU,ARG,2015,0.011
LTU,ARG,2016,0.011
LTU,ARG,2017,0.028
LTU,ARG,2018,0.051
LTU,ARG,2019,0.007
LTU,ARG,2020,0.014
LUX,ARG,2000,0.024
LUX,ARG,2001,0.021
LUX,ARG,2002,0.009
LUX,ARG,2003,0.009
LUX,ARG,2004,0.016
LUX,ARG,2005,0.013
LUX,ARG,2006,0.018
LUX,ARG,2007,0.017
LUX,ARG,2008,0.016
LUX,ARG,2009,0.016
LUX,ARG,2010,0.014
LUX,ARG,2011,0.016
LUX,ARG,2012,0.015
LUX,ARG,2013,0.015
LUX,ARG,2014,0.016
LUX,ARG,2015,0.018
LUX,ARG,2016,0.017
LUX,ARG,2017,0.019
LUX,ARG,2018,0.017
LUX,ARG,2019,0.015
LUX,ARG,2020,0.01
LVA,ARG,2000,0.006
LVA,ARG,2001,0.004
LVA,ARG,2002,0.002
LVA,ARG,2003,0.002
LVA,ARG,2004,0.002
LVA,ARG,2005,0.002
LVA,ARG,2006,0.002
LVA,ARG,2007,0.004
